"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",0,1,138,199,0,0,0,159,0,0,0,0,5,0,42,0,0,1,0,0,0,0,0,0,0,24,0,307,1,328,0,0,0,0,0,0,0,0,0
"2",0,256,0,0,140,1,0,0,0,0,0,0,0,0,261,0,0,0,52,0,0,0,0,0,105,0,0,0,0,0,0,48,0,0,0,1,1,0,1
"3",0,75,149,0,220,0,0,0,0,1,0,1,113,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0
"4",1,0,0,0,0,0,0,0,0,0,1,0,1,247,0,167,0,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"5",0,0,0,1,31,182,281,0,1,0,0,1,0,1,0,0,155,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,150,0
"6",0,1,2,0,0,0,1,1,0,121,0,0,0,1,1,0,0,0,0,0,0,0,0,0,106,0,408,1,2,0,0,0,0,1,0,0,80,0,0
"7",0,0,0,0,249,0,0,1,0,0,0,1,0,1,0,0,0,12,0,250,337,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
"8",84,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,1,0,0,0,0,0,0,0,0
"9",0,0,0,1,0,0,1,1,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,1,0,0,0,0
"10",594,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"11",0,0,0,0,203,0,0,0,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,455,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,545,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,94,106,158,0,0,1,5,1,1,157,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,328,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,326,0,0,228,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"17",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,166,0,0,96,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,132,92,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,179,127,0,0,0,0,1
"20",0,1,0,0,0,0,0,0,0,0,0,321,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,154,1,0,0,0
"21",0,51,0,87,1,1,0,0,0,2,0,0,0,3,0,4,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",122,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",1,0,1,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"25",1,0,0,0,0,0,0,0,223,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,2,0,0,0,1,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"28",0,0,0,0,0,0,0,0,0,212,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"29",0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
"31",101,0,0,0,0,0,0,1,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544
