"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",1,0,570,1,2,3,1,3,4,3,836,5,2,3,1,1,4,1,1
"2",1,2,1,2,2,0,3,2,295,2,4,6,1,0,0,1,608,1,2
"3",0,0,1,1,0,4,0,6,399,3,1,2,3,0,1,1,3,0,340
"4",1,0,2,0,1,0,0,652,2,1,0,3,4,2,2,1,2,0,0
"5",491,1,0,2,1,6,0,0,1,3,2,0,15,0,0,0,395,1,0
"6",2,0,0,672,2,6,2,2,5,4,4,2,2,0,4,1,210,0,2
"7",1,2,0,3,5,6,1,327,2,5,3,5,3,0,755,1,4,0,1
"8",2,0,1,1,661,0,0,3,1,4,1,1,1,2,1,0,2,2,0
"9",0,359,0,1,1,0,4,0,1,3,2,0,0,1,0,0,0,0,0
"10",0,0,2,3,1,6,1,5,3,298,2,3,3,1,1,1,4,1,617
"11",0,1,1,2,0,3,1,0,3,2,1,3,2,1,1,1021,4,0,2
"12",0,0,0,1,0,1,2,0,0,1,0,1,2,0,563,1,1,0,0
"13",2,0,0,0,2,0,3,3,4,3,1,0,0,1,0,1,0,602,1
"14",4,0,0,0,0,583,1,1,1,1,1,1,0,2,2,2,2,0,2
"15",0,1,3,1,1,2,585,1,1,1,1,0,0,0,0,2,2,0,0
"16",0,0,0,0,1,0,0,343,1,1,0,1,247,0,2,0,3,1,0
"17",2,0,1,0,1,285,1,3,0,1,0,2,1,0,0,0,1,0,1
"18",1,0,0,2,0,7,2,3,1,1,2,2,0,0,0,1,345,0,0
"19",0,0,0,1,0,2,2,1,1,0,1,1,338,0,1,0,0,0,0
"20",0,0,1,0,0,3,0,0,1,781,0,1,2,0,0,1,8,0,1
"21",2,0,1,1,1,205,0,137,2,0,0,5,0,1,0,0,2,0,0
"22",0,0,0,0,3,1,479,1,2,3,1,0,0,1,1,1,0,0,1
"23",1,1,1,2,0,1,1,0,2,2,1,2,0,267,0,0,1,1,1
"24",0,0,0,1,0,2,1,0,3,1,339,2,0,0,0,1,0,0,1
"25",4,1,0,2,0,0,3,1,2,0,1,2,1,485,0,0,1,0,1
"26",2,0,0,0,1,2,2,0,0,0,1,1,184,0,2,0,0,0,0
"27",0,0,0,0,0,0,0,1,177,0,1,0,0,0,2,0,0,0,0
"28",0,0,1,333,0,2,1,3,0,0,0,0,0,0,0,0,1,0,0
"29",0,0,0,139,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0
"30",140,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"31",0,0,1,1,0,7,0,1,0,113,0,1,0,0,0,0,0,0,0
"X",0,1,0,8,3,4,2,0,4,3,4,613,1,4,1,1,5,1,0
