"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",86,14,6,17,20,19,814,11,547,7,26,17,4,3,10,5,11,12,1,12,54
"2",651,19,4,7,222,8,13,101,5,4,7,5,5,0,2,6,2,1,5,4,19
"3",52,5,2,8,374,6,28,6,1,5,12,8,0,7,6,2,4,4,9,356,20
"4",14,8,540,8,6,8,5,7,2,1,14,14,0,2,3,3,3,4,3,5,18
"5",885,18,5,12,8,6,27,6,2,0,12,7,2,1,4,2,5,2,2,4,23
"6",17,14,7,15,14,9,43,11,2,17,608,210,4,3,6,8,6,6,0,10,41
"7",40,11,6,9,29,24,41,21,15,7,37,9,45,694,4,5,7,18,491,7,48
"8",10,14,4,7,8,9,16,6,1,234,206,8,6,2,1,3,4,261,1,5,18
"9",9,9,4,12,13,10,38,370,0,0,18,8,1,1,4,5,5,5,0,8,33
"10",10,8,3,262,5,5,26,6,4,2,13,6,2,3,4,3,4,2,654,3,11
"11",15,1,2,7,9,8,14,6,0,1,9,6,2,2,3,1000,4,5,4,6,23
"12",8,1,2,1,3,2,11,4,2,0,3,3,1,522,2,7,0,2,0,0,1
"13",5,12,206,4,3,0,23,5,1,9,4,6,6,1,9,3,1,0,3,384,7
"14",35,6,2,7,4,539,5,3,2,3,10,6,1,4,1,2,2,4,1,3,12
"15",5,9,1,5,7,7,28,7,4,4,4,4,616,2,2,3,0,1,2,1,7
"16",9,549,2,14,14,9,81,12,1,3,52,10,1,5,7,4,2,2,2,6,26
"17",12,7,4,7,10,12,27,7,3,0,12,6,5,0,3,3,289,4,18,6,30
"18",7,6,3,8,9,12,65,8,1,1,8,289,75,1,5,3,2,2,3,7,21
"19",9,349,4,11,13,9,40,9,0,9,18,13,1,4,3,5,7,4,0,8,33
"20",10,7,1,673,6,5,24,4,5,0,10,6,1,1,2,4,2,3,1,3,13
"21",12,2,1,3,4,205,25,3,1,2,6,5,0,1,4,1,1,2,132,2,9
"22",8,9,0,2,3,3,4,3,4,478,6,7,2,0,2,0,0,0,1,2,2
"23",6,1,0,4,6,0,37,5,3,1,5,6,2,2,313,1,0,0,1,2,8
"24",5,2,0,5,6,1,355,4,1,1,5,4,3,0,5,0,1,0,0,2,7
"25",6,6,1,3,4,4,40,1,1,2,1,4,1,3,444,1,1,2,2,0,5
"26",6,18,176,3,2,0,22,3,0,0,3,7,0,0,2,0,0,0,0,0,5
"27",2,0,1,3,48,4,13,123,0,0,6,5,0,0,1,1,2,1,0,2,9
"28",6,7,2,4,5,6,26,3,2,217,144,6,0,1,2,3,2,1,0,3,12
"29",5,3,1,1,2,5,3,1,181,2,2,2,3,0,4,1,3,3,0,6,7
"30",153,3,0,4,4,2,45,4,0,1,0,5,0,0,4,0,1,2,0,0,7
"31",6,1,1,138,4,3,12,3,0,0,5,2,0,1,1,1,2,1,0,3,9
"X",33,27,9,23,34,30,117,18,4,8,40,28,8,5,12,10,12,11,6,17,715
