"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",0,264,3,8,2,24,232,42,217,81,2,90,17,283,0,1,0,1,255,0,2
"2",1,2,139,707,30,5,1,75,0,1,2,3,1,96,0,0,2,3,0,0,1
"3",1,0,34,1,370,15,9,370,2,7,0,1,4,5,0,1,3,0,1,2,0
"4",1,4,1,5,115,375,0,1,13,1,45,55,27,11,1,0,1,0,1,0,3
"5",369,1,507,34,30,5,1,2,1,1,5,2,9,6,0,2,0,2,1,0,1
"6",246,0,0,2,0,323,2,3,1,214,0,1,1,1,209,5,2,0,1,0,2
"7",2,81,1,3,6,4,693,215,723,70,1,19,9,3,0,6,238,0,0,0,1
"8",41,0,0,5,231,1,3,2,2,29,49,0,2,7,0,51,27,191,0,0,7
"9",52,1,40,62,1,1,2,1,1,0,0,1,3,4,210,5,2,1,0,0,0
"10",0,11,1,48,1,4,1034,2,40,197,1,0,6,3,1,0,86,1,2,0,6
"11",3,2,18,2,1,1,1,2,0,16,1174,0,0,1,1,0,1,1,0,1,0
"12",1,327,0,1,0,0,85,3,0,0,1,0,0,2,0,5,0,0,406,0,0
"13",0,4,0,3,275,1,177,1,1,1,8,3,5,0,1,84,122,1,0,0,0
"14",12,1,3,4,2,1,0,0,1,0,190,0,167,5,0,1,21,187,0,0,0
"15",63,51,0,3,50,159,16,0,1,9,66,92,1,3,2,0,103,1,2,0,1
"16",1,0,49,0,0,149,5,2,326,1,1,1,1,91,2,1,13,2,1,0,1
"17",9,0,24,0,41,0,2,60,2,0,0,1,0,168,0,0,13,0,2,1,2
"18",167,174,1,2,0,0,1,2,1,2,1,0,0,4,1,0,0,12,0,0,0
"19",1,0,71,0,0,0,3,1,1,2,0,0,0,8,0,331,0,1,0,0,0
"20",38,0,2,3,0,1,2,0,35,0,3,0,254,6,0,0,455,0,0,0,3
"21",0,0,0,2,1,0,0,104,1,28,5,1,113,2,87,7,32,1,0,0,0
"22",1,487,21,2,0,1,1,1,1,0,0,0,0,4,0,2,0,0,1,0,0
"23",0,3,0,221,0,0,2,1,0,0,0,1,101,2,2,0,0,0,73,0,0
"24",0,0,1,2,1,1,1,2,2,1,0,342,0,33,0,1,0,0,0,0,0
"25",1,338,1,276,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0
"26",0,0,0,2,0,0,0,0,1,84,0,0,0,3,0,125,21,0,0,0,0
"27",0,0,0,0,0,0,5,173,0,0,0,0,1,5,0,0,0,0,0,0,2
"28",0,0,0,1,0,3,1,7,1,137,0,0,0,4,251,0,1,0,0,72,11
"29",9,90,0,1,0,0,0,5,0,7,6,0,92,1,0,3,0,21,0,0,0
"30",158,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"31",0,0,0,1,0,0,3,0,0,64,7,0,0,1,0,1,71,0,0,0,0
"X",9,4,2,7,5,4,5,2,4,4,3,19,3,16,2,0,4,4,1,160,708
