"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",1,0,1,1,0,0,1,1,1,1,2,0,0,1,0,48,521,380,0,0,0,0
"2",1,78,0,1,0,0,1,0,1,0,0,0,369,0,152,1,1,0,1,0,0,0
"3",0,111,1,0,199,0,1,0,1,1,0,0,0,0,192,1,2,0,0,0,0,0
"4",0,1,0,0,0,0,186,0,0,206,0,0,38,0,0,0,0,0,0,0,0,1
"5",1,0,0,0,0,0,0,0,0,0,0,0,651,9,0,98,1,1,0,0,0,0
"6",0,0,1,221,1,0,120,250,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",518,0,0,2,0,0,1,0,0,0,0,0,2,2,0,1,2,0,1,0,0,2
"8",0,2,0,0,0,0,0,0,208,0,0,1,0,0,0,2,0,0,0,0,130,0
"9",1,0,268,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0
"10",2,0,0,0,68,0,1,0,3,0,0,238,1,2,0,0,0,1,1,0,0,3
"11",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0
"12",239,2,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0
"13",2,0,3,1,0,193,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1
"14",0,1,338,1,0,0,2,0,1,0,78,0,0,1,0,1,1,0,0,0,0,0
"15",0,470,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"16",0,0,0,0,0,1,0,0,308,0,0,0,0,168,1,0,0,0,0,0,0,0
"17",1,1,0,0,0,0,1,144,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"18",1,0,0,0,0,0,315,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"19",1,0,0,0,0,0,1,0,0,0,0,1,0,312,0,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,2,1,0,0,431,0,2,0,1,0,0,0,0,0,0
"21",0,0,0,1,0,1,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1
"22",1,0,0,242,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"23",193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,170,0,2
"25",135,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1
"26",0,0,0,1,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
"27",0,74,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
"28",0,0,0,173,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"29",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,134,0,0,0,0,0,1
"31",0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
"X",5,2,1,0,0,0,1,2,1,0,0,1,2,2,1,1,0,1,0,0,0,407
