"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"F1",613,1,1,1,4,0,3,0,2,0,0,2,1,0,1,0,1,0,0,0,2,0,0,0
"F2",2,0,2,0,0,1,1,366,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2
"D2",52,2,1,0,1,2,1,0,1,521,0,2,0,0,0,1,1,0,0,0,0,0,0,2
"B4",5,10,1,0,1,0,0,0,7,139,3,768,1,3,4,2,2,3,1,0,1,227,0,9
"D3",1,4,1,1,2,1,2,0,0,0,2,222,1,1,0,0,0,249,0,2,0,170,0,2
"A1",77,9,2,4,762,2,0,0,1,1,6,3,284,0,2,0,4,1,2,1,1,3,0,5
"A3",1,577,1,1,1,2,1,3,2,1,3,3,2,0,0,2,0,0,2,493,0,2,0,2
"A2",8,4,364,1,1,3,586,0,2,2,0,5,0,0,1,1,0,1,585,3,0,2,0,0
"B1",3,5,1,648,3,2,4,212,1,2,2,5,0,2,1,2,3,0,2,3,0,1,0,4
"B2",3,1,0,2,1,1005,1,3,1,1,3,3,1,2,2,4,1,1,2,2,2,1,10,1
"B3",8,6,1,2,2,2,9,3,0,1,2,4,0,572,523,0,1,3,4,0,0,1,3,4
"X",7,3,1,1,5,4,6,1,6,0,4,1,3,3,4,1,3,2,6,0,0,1,42,676
"C2",4,0,626,3,0,3,3,0,1,0,3,4,1,1,0,0,1,0,4,0,191,0,10,1
"D4",0,2,0,0,3,0,2,0,715,0,0,3,0,0,26,0,1,1,1,1,0,0,0,3
"D1",0,3,1,0,1,1,3,2,0,0,1172,1,0,0,0,1,3,0,2,1,0,2,0,1
"E1",1,0,0,0,0,0,2,1,0,1,0,2,0,1,0,1,1081,1,0,1,0,0,2,3
"C1",1049,555,0,0,1,7,3,0,2,7,2,6,1,1,0,3,3,1,2,0,0,0,0,3
"E3",1,1,2,0,0,0,252,2,1,0,1,1,0,0,0,403,1,2,1,1,0,0,0,2
"E2",3,1,2,4,2,0,12,0,0,0,1,2,0,0,0,353,1,0,708,0,0,0,0,0
