"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"F1",547,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"F2",0,0,0,1,0,0,0,323,0,0,0,1,0,1,0,0,0,0,1,0,1
"D2",49,0,1,1,0,1,1,0,458,0,0,0,0,1,0,0,0,0,0,0,0
"B4",2,0,0,0,0,0,0,0,120,198,646,0,2,0,0,0,0,0,0,0,0
"D3",0,0,0,1,0,1,0,0,0,130,173,1,1,0,0,1,0,218,0,0,0
"A1",40,0,0,0,1,663,1,1,1,1,0,0,3,0,1,1,246,0,0,0,1
"A3",1,0,0,0,0,0,0,0,1,418,1,0,490,0,0,0,0,0,0,0,0
"A2",0,290,452,0,1,3,0,0,1,1,35,1,1,0,0,0,0,0,390,0,0
"B1",41,2,1,0,541,1,0,187,0,0,1,0,0,0,0,0,0,0,1,0,0
"B2",0,0,0,775,1,2,4,0,1,0,0,0,0,0,0,1,0,1,0,1,0
"B3",0,0,1,1,0,0,939,0,0,0,1,0,2,1,3,0,1,0,1,2,0
"X",0,1,2,0,0,0,3,0,0,0,0,1,0,1,0,1,1,0,0,0,521
"C2",1,540,145,1,0,1,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0
"D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,1,0,0
"D1",3,0,0,1,0,0,0,0,0,0,0,0,0,958,0,0,1,0,1,0,0
"E1",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,855,0,0,0,0,2
"C1",880,0,1,0,1,3,1,0,0,0,1,419,57,2,0,1,0,1,2,0,0
"E3",0,0,167,0,0,0,0,0,0,1,3,0,1,0,1,0,0,1,0,333,1
"E2",0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,462,291,0
