"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"F1",556.128787879,1.27164502165,2.03333333333,0.842857142857,0.25,2.48376623377,1.91666666667,0.378787878788,1.125,0.0909090909091,0.395454545455,0.142857142857,0,1.17878787879,2.1,0,1.0,0,0.170454545455,0,2.65021645022
"F2",1.75,1.0625,0.416666666667,2.08333333333,0.7,0.25,0,331.95,0.3125,0,2.125,1.2625,0,1.5,1.2625,1.11111111111,0.5,0.0625,1.0,0.0625,2.28333333333
"D2",49.8333333333,0.5,1.5,2.16666666667,0.25,1.0,2.0,0.5,468.75,0.5,1.0,0.5,1.33333333333,1.11111111111,1.0,0.5,0.5,0.333333333333,0.111111111111,0.111111111111,2.33333333333
"B4",4.75,2.10795454545,1.07291666667,1.30587121212,0.826109307359,0.345833333333,4.94368686869,0.341071428571,122.59375,202.2625,659.73662518,1.66985930736,4.79166666667,1.90170454545,0.479166666667,1.24069264069,1.20833333333,0.674404761905,0.611111111111,1.3125,4.13852813853
"D3",1.33333333333,2.56666666667,1.21458333333,2.15625,1.36458333333,2.5,2.33333333333,0.5625,0.414583333333,133.316666667,178.53125,1.0,1.56666666667,1.13125,0,1.45,1.08333333333,225.583333333,0,0,1.95833333333
"A1",44.7777777778,0.833333333333,0.183333333333,3.5625,3.59107142857,684.190277778,4.13333333333,1.94523809524,3.33333333333,2.72916666667,0.82380952381,1.85,4.1,3.3,2.04444444444,1.98968253968,254.016666667,2.1119047619,2.33333333333,1.16666666667,4.18333333333
"A3",3.06666666667,2.31666666667,0.416666666667,1.5,3.44523809524,3.16666666667,2.65,4.3619047619,2.46666666667,430.775,2.49047619048,2.27857142857,502.15,1.69166666667,0.266666666667,1.26468253968,0.166666666667,0.0285714285714,0.958333333333,1.0,3.66666666667
"A2",2.69755498333,297.474621212,466.263095238,2.77142857143,5.37892720307,4.77539184953,2.37777777778,1.94660397074,3.36781609195,3.58257575758,38.197753396,3.29166666667,1.8867816092,0.78354978355,1.9880952381,0,1.2,0.772577996716,400.097178683,1.7,3.44660397074
"B1",43.9902777778,4.12916666667,1.98958333333,2.05208333333,555.150099206,3.35416666667,2.71944444444,191.257738095,1.78958333333,0.670833333333,3.77172619048,1.65357142857,1.35833333333,1.20902777778,1.6,2.05634920635,0.5,1.44523809524,1.44444444444,1.52777777778,3.29166666667
"B2",2.86666666667,2.05303030303,1.35,795.543939394,2.7196969697,2.66666666667,5.38181818182,2.5,3.35,1.1,3.10378787879,0.386363636364,1.16666666667,2.16212121212,0.625,2.13636363636,0.625,1.34090909091,0.416666666667,2.38257575758,2.85606060606
"B3",4.05277777778,2.66666666667,1.83333333333,2.8125,2.84027777778,1.14583333333,961.163888889,1.58333333333,1.70833333333,1.52083333333,4.125,1.5,3.58333333333,2.06666666667,5.5,0,2.45833333333,2.04166666667,2.23611111111,2.0,5.52777777778
"X",5.05952380952,2.41666666667,3.3380952381,2.9880952381,3.2,5.28333333333,7.12777777778,0.5,0.45,1.03333333333,2.08333333333,1.83333333333,1.66666666667,2.67142857143,2.27142857143,2.31111111111,2.16666666667,1.40476190476,3.02777777778,0.833333333333,544.18015873
"C2",3.25,550.583333333,148.864583333,4.29910714286,2.11458333333,2.08333333333,2.25,1.01488095238,0.03125,0.166666666667,3.13125,2.80952380952,0.833333333333,3.46458333333,1.0,1.30952380952,1.66666666667,0.142857142857,0.97619047619,0,3.625
"D4",2.07777777778,1.01785714286,1.5,0.561111111111,1.73333333333,1.47222222222,3.02261904762,0.833333333333,1.375,1.0,1.08333333333,1.03333333333,0.833333333333,0.561111111111,594.145634921,0.25,0.5,0.9,1.83333333333,0.333333333333,2.93333333333
"D1",4.36111111111,0.625,2.18333333333,2.625,1.9869047619,1.56944444444,0.75,2.82023809524,1.5,0.791666666667,1.18214285714,1.3619047619,0.958333333333,978.925,0.777777777778,1.36468253968,1.225,1.52857142857,2.08333333333,0,4.475
"E1",3.58333333333,0,0.333333333333,1.75,2.08333333333,2.0,0.833333333333,0.75,0,0.166666666667,3.25,1.75,1.66666666667,0.75,1.16666666667,875.616666667,0.833333333333,0.5,0.5,0.916666666667,4.41666666667
"C1",906.208333333,1.83333333333,2.29166666667,3.025,3.0,7.43333333333,3.58333333333,3.16666666667,2.90952380952,1.51666666667,2.95555555556,430.928571429,62.5583333333,3.6,2.35,3.25,0.5,1.33333333333,4.53571428571,0.928571428571,5.61111111111
"E3",0.666666666667,2.16666666667,174.116666667,1.0,0.5,0,0,1.66666666667,0.333333333333,2.5,4.0,1.0,2.7,0.166666666667,2.25,0.5,0.2,1.0,0.95,341.5,3.2
"E2",2.60526315789,1.16666666667,0.355263157895,1.33333333333,0.666666666667,2.0,1.16666666667,0.885964912281,0,0.738095238095,3.95833333333,0.0833333333333,0.833333333333,0.330409356725,1.45833333333,1.43333333333,1.625,0.583333333333,473.37959482,299.095760234,1.48464912281
