"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"F1",449,0,102,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"F2",44,0,38,55,0,0,1,0,0,0,0,0,3,0,187,5,0,0,0,0,0
"D2",0,0,0,0,0,16,78,33,0,81,1,0,16,87,0,0,0,0,226,0,0
"B4",0,80,0,0,0,232,1,10,0,279,0,0,18,0,364,4,2,21,0,0,0
"D3",23,0,0,0,211,0,0,0,0,26,48,0,0,0,1,52,28,178,0,0,0
"A1",18,0,22,2,39,0,2,49,0,0,195,0,258,156,79,3,20,178,0,0,1
"A3",59,487,0,0,47,117,1,0,0,8,58,87,0,1,0,0,96,0,0,0,0
"A2",0,3,1,0,105,428,0,179,224,102,43,54,20,67,0,0,79,0,0,0,0
"B1",0,0,154,0,319,16,0,224,1,0,1,0,0,86,0,0,1,0,0,0,0
"B2",32,1,1,43,0,1,1,0,56,210,0,0,135,2,0,0,346,0,0,0,0
"B3",0,157,0,0,0,1,123,0,211,0,0,363,0,154,0,0,0,0,0,0,0
"X",1,0,0,0,3,3,3,0,1,0,2,1,1,0,0,1,0,1,1,0,501
"C2",0,0,112,0,0,1,0,0,164,35,0,0,0,23,0,356,30,0,0,0,0
"D4",0,239,0,249,0,0,1,0,0,0,0,0,63,0,0,0,0,0,69,0,0
"D1",1,186,0,0,0,0,378,0,274,0,0,0,0,0,0,0,0,0,267,0,0
"E1",0,1,0,0,1,0,0,1,0,0,929,0,0,0,0,0,0,1,0,0,0
"C1",334,157,317,592,25,6,0,0,0,0,1,1,1,0,0,0,1,13,0,0,0
"E3",0,1,0,0,201,0,158,0,0,0,7,0,0,0,1,82,113,1,0,0,0
"E2",1,0,0,0,0,0,481,306,0,1,0,0,2,0,1,0,6,0,0,0,0
