"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"F1",452.142857143,0.5,104.25,1.0,1.41666666667,0.25,0,2.08333333333,1.16666666667,0,1.0,1.0,0.833333333333,0.25,0.75,0.5,0.4,0.166666666667,0,0,0
"F2",46.0,0.5,38.0,57.75,0,0,1.5,0.5,0,0,0.5,0,3.33333333333,0.25,190.083333333,5.0,0.333333333333,0.333333333333,0,0,0.5
"D2",0,0.333333333333,0,0,1.0,17.75,79.0,33.3333333333,0,82.5,2.0,0.5,17.0,88.0,0.25,0,0.5,0,228.0,0,0
"B4",0.5,81.8333333333,0.5,1.0,0.125,235.2,1.75,11.5,1.5,282.970528455,0.833333333333,1.33333333333,18.5833333333,0.5,369.5,5.5,2.5,21.0,0.5,0.878048780488,1.49070847851
"D3",23.0,0.166666666667,0.6,0.5,217.486111111,0.75,1.1,0.5,0.5,26.125,49.5,0,1.0,0.222222222222,1.25,52.1666666667,28.5,181.0,0,0,1.83333333333
"A1",19.7380952381,0.5,24.6,2.0,41.1111111111,1.2,4.93333333333,50.5,1.11111111111,2.11111111111,198.166666667,0.5,263.916666667,157.5,80.0,3.5,20.0,181.0,0.833333333333,0,1.33333333333
"A3",61.25,493.833333333,1.33333333333,0.833333333333,47.75,119.366666667,3.375,0.5,0.5,8.83333333333,59.1666666667,88.5,0.625,1.0,1.0,0.416666666667,98.8666666667,0,1.58333333333,0,0.916666666667
"A2",0.166666666667,5.16666666667,2.0,0.625,108.736111111,436.083333333,0.833333333333,181.867424242,225.875,107.281862745,45.0,56.1287878788,21.8333333333,67.7638888889,0.916666666667,0.617647058824,84.3371212121,1.125,0.166666666667,0,1.41666666667
"B1",1.66666666667,0.952380952381,157.583333333,1.5,323.125,18.8666666667,2.20833333333,227.595238095,1.83333333333,0.577380952381,2.0,0.5,1.875,86.5,0.5,0.166666666667,1.86666666667,0.5,0.5,0.333333333333,0.5
"B2",32.7,2.5,2.43333333333,44.5,1.11111111111,1.5,2.43333333333,0.5,57.4111111111,213.611111111,1.25,0.833333333333,139.333333333,2.0,1.25,0,348.0,0.75,1.25,0,1.75
"B3",1.0,158.6,1.85,1.25,0.1,2.83333333333,126.458333333,0.5,214.916666667,0.5,0.5,369.357843137,0.808333333333,157.25,0.75,0.6,0.7,1.11274509804,1.0,0,1.19607843137
"X",3.33333333333,1.5,1.1,4.125,5.5,3.91666666667,3.85,1.125,2.125,3.58333333333,4.0,2.94117647059,3.0,0.333333333333,1.5,1.0,0.75,1.90441176471,1.66666666667,3.5,521.898459384
"C2",1.16666666667,1.0,113.75,0.5,1.29166666667,2.33333333333,1.25,0.166666666667,164.5,37.3431372549,0.833333333333,0.5,1.0,23.5,0.75,362.424019608,30.5,0.0833333333333,0.5,0.333333333333,0.5
"D4",0.333333333333,244.333333333,0.5,254.5,2.5,1.58333333333,1.83333333333,0.5,0.5,0.5,1.58333333333,0,64.5,0,0,0,0,0.333333333333,69.0,0,1.0
"D1",2.0,187.0,0.1,0,0.722222222222,1.2,385.85,0.833333333333,276.111111111,1.11111111111,1.0,0,0,0.222222222222,0,0.916666666667,0.166666666667,0,270.083333333,0,0.25
"E1",0.222222222222,1.5,1.6875,0.5,1.0,1.16666666667,0.833333333333,1.0,0,0.888888888889,941.201388889,0.333333333333,0,0,0.166666666667,0,0.5,1.5,0,0.5,0.5
"C1",341.785714286,159.962745098,322.6,603.048039216,25.5117647059,7.66666666667,3.33333333333,1.7,0.5,2.41666666667,2.16666666667,2.04411764706,2.8,0.75,0,0.1,2.56666666667,13.9166666667,0.75,0,1.16666666667
"E3",0,1.0,0,0.833333333333,202.666666667,0.5,160.666666667,0.5,0,0.5,7.16666666667,0.333333333333,0.5,0,1.0,82.5,114.666666667,1.5,0,0,0.5
"E2",1.0,0,0.333333333333,0.875,0,0,492.672916667,310.833333333,0.666666666667,1.25,0.5,0.383333333333,3.69166666667,0.5,1.0,0,7.87708333333,0.5,1.0,0,0
