"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"F1",1,0,0,0,0,0,0,0,0,0,0,1,283,0,0,227,1,1,0,0,0,0
"F2",1,0,250,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
"D2",1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,44,0,373,0,0,0,0
"B4",0,2,0,384,1,0,1,251,0,0,2,0,0,0,1,92,0,0,0,0,0,0
"D3",0,1,1,0,0,0,0,0,211,0,0,1,1,1,0,2,0,0,0,0,134,0
"A1",0,1,336,1,0,1,5,148,1,0,226,0,0,1,0,1,0,0,0,0,0,0
"A3",1,465,0,232,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"A2",1,1,1,2,0,0,187,0,287,200,0,0,45,2,1,0,2,0,0,0,0,2
"B1",0,258,0,0,0,0,0,0,1,0,0,0,1,1,332,1,3,0,0,0,0,1
"B2",1,1,1,0,0,0,0,1,2,0,0,727,0,0,0,1,1,0,0,0,0,0
"B3",1,2,3,1,0,0,0,0,0,0,2,0,1,0,0,0,542,0,0,163,0,3
"X",2,0,1,0,0,0,3,1,1,0,0,0,2,5,1,0,1,2,0,0,1,407
"C2",0,0,0,1,0,0,0,0,38,0,0,1,0,553,1,1,0,0,0,0,0,0
"D4",330,0,1,0,0,0,0,1,2,1,0,0,2,1,0,1,0,0,0,0,0,1
"D1",751,1,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
"E1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,690,0,0,0
"C1",3,1,2,1,0,0,418,1,0,0,0,0,706,0,0,1,1,0,1,0,0,0
"E3",2,1,2,1,0,188,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
"E2",3,1,0,0,265,0,2,0,1,1,0,1,0,2,2,0,0,0,1,0,0,0
