"1","2","3","4","5","6","LGb","LGc","LGa","LGf","LGh","LGg"
"1",54.0833333333,32.6666666667,619.75,3.75,609.083333333,3.0,0,0,0,0,0,0
"2",23.25,5.5,1.5,392.0,2.0,400.25,0,0,0,0,0,0
"3",732.25,32.25,0.5,24.0,4.5,0,0,0,0,1.5,0,0
"4",4.0,2.91666666667,14.75,20.0,330.833333333,39.5,0,0,0,0,0,0
"5",515.452380952,26.5,3.42857142857,2.41666666667,2.30952380952,3.39285714286,0,0,0,1.0,0,0
"6",2.0,0.5,152.0,2.0,2.0,0,0,0,0.5,0,0,0
"7",182.5,16.5,1.0,6.0,0,3.5,0,0,0,0,0,0
"8",0,5.75,0,256.25,1.0,0.5,0,0,0,0,0,0
"9",0.5,2.25,284.083333333,1.0,1.16666666667,0,0,0,0,0,0,0
"10",1.0,2.5,2.33333333333,2.0,1.0,0.5,0,0,0,0,0,0
"11",0,2.0,1.0,0.5,10.0,0,0,52.0,0,0,0,0
"12",0.5,247.75,1.33333333333,0.5,0.75,0,0,0,0,0,0,0
"13",29.0,145.0,0,27.0,0.5,0.5,0,0,0,0,0,0
"14",0,4.0,2.5,0,0,0,0,0,0,0,0,0
"15",1.33333333333,1.0,1.33333333333,0.5,1.0,1.0,56.3333333333,0,0,0,0,0
"16",0,15.5,0,0,0,0,0,0,0,0,0,0
"17",0.5,5.0,1.5,2.5,1.0,1.0,0,0,0,0,0,2.0
"18",0,201.5,0,0,1.0,0,0,0,0,0,0,0
"19",1.5,5.0,0,2.0,1.5,0,0,0.5,0,0,0,0
"20",3.0,1.0,0.5,149.5,0,0,0,0.5,0,0,0,0
"21",0,0,0.5,0,0,0,0,0,0,0,3.0,0
"22",0.5,0.5,0,0,0,1.0,0,0,1.5,0,0,0
"23",1.5,0,0,1.0,0,0,0,0,0,0,0,0
"24",0,0,1.0,0,0,0,0,0,20.0,0,0,0
"26",0.75,4.0,0,174.5,1.25,0.5,0,0,0,0,0,0
"27",0,0.833333333333,0,0.5,1.25,184.75,0,0,0,0,0,0
"28",2.0,0,0,0,1.0,0.5,0,0,0,0,0,0
"W",0,1.0,0,0,0,0,0,0,0,0,0,0
"Z",21.0,359.75,0.666666666667,4.75,1.07692307692,0,0,0,0,0.923076923077,0,0
