"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",2,41,12,1,37,1,23,0,2,286,1,0,2,68,90,50,30,53,0,2,124,157,0,0,82,0,213,0,0,1,119,1,105,0,1,0,0,3,124
"2",53,74,1,14,1,1,91,2,1,0,24,0,134,152,0,50,0,38,0,32,0,0,120,1,0,0,0,0,133,1,0,0,0,40,86,0,0,0,1
"3",183,0,0,49,1,0,76,0,2,83,0,261,0,0,0,6,183,2,0,0,0,0,9,53,32,0,0,0,0,0,0,0,0,0,0,0,3,26,0
"4",2,1,133,0,1,1,1,0,0,0,0,0,94,0,68,75,31,0,48,0,2,0,1,17,18,0,0,1,0,0,0,125,0,0,0,0,1,0,222
"5",1,0,1,0,0,1,0,353,0,0,1,0,0,0,0,0,0,217,0,0,93,0,0,1,0,0,0,0,1,73,0,1,0,0,0,0,0,0,1
"6",0,0,1,126,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,18,0,269,0,0,0,1,0,1,0,0,0,0,1
"7",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,70,0,0,0,4,1,22,0,1,0,0,0,15,0,25,0,0,118,146,0,0
"8",2,0,0,0,66,132,93,6,0,0,0,1,0,0,83,0,7,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,27,1
"9",2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,1,95,1,69,1,0,0,0,0,7,0,27,120,0,0,11,0,0
"10",1,0,118,0,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,206,0,0,0,0,0,0,0,0,0
"11",31,65,0,0,185,0,0,1,0,1,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"13",0,49,0,134,0,0,0,0,0,1,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,0,0,2,33,282,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,3,7,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"17",0,0,0,1,0,1,0,0,198,0,33,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"18",0,0,0,1,27,0,0,1,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"19",0,0,0,0,37,59,0,1,166,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,271,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"21",0,96,0,0,98,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"22",0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,39,8,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,116,0,0,0,1,0,1,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",1,0,0,0,145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"25",0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"26",0,0,0,0,0,19,45,0,1,0,0,61,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,0
"27",0,0,0,0,0,0,1,1,175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",108,67,103,67,2,1,25,0,1,0,188,1,0,0,1,9,1,0,1,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
