"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",16,4,7,320,68,280,196,2,14,3,5,2,3,10,64,10,263,1,114,56,2,0,3,0,0,139,0,319,47,1,1,154
"2",4,0,0,282,1,3,0,166,295,4,5,3,2,11,3,179,0,2,0,91,55,4,2,1,24,1,1,1,90,1,0,2
"3",54,37,0,0,31,1,2,1,2,245,5,2,1,3,297,0,1,1,1,141,0,71,0,2,2,1,12,0,0,71,116,4
"4",9,189,345,3,0,2,5,1,2,3,2,0,1,1,32,2,6,1,4,2,0,20,0,0,0,1,82,1,0,2,0,259
"5",162,3,1,0,0,0,120,1,0,1,0,265,3,1,5,1,0,0,1,0,0,1,1,355,4,0,1,1,0,0,0,12
"6",507,3,4,1,1,0,0,0,0,1,0,0,0,0,4,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
"7",2,2,0,1,0,98,1,0,0,0,1,0,0,0,0,5,0,286,28,0,0,1,0,0,0,15,0,0,0,1,0,0
"8",1,130,0,0,278,3,1,0,0,1,0,0,2,0,3,0,1,0,0,1,0,1,1,2,1,0,0,0,0,28,0,7
"9",0,2,0,2,11,86,2,5,0,1,2,0,2,0,1,89,1,16,165,0,0,1,0,0,0,7,0,0,0,0,1,3
"10",360,0,0,1,2,1,0,3,0,6,0,0,3,0,1,0,0,1,1,8,0,1,1,0,0,0,0,0,0,0,0,2
"11",6,0,279,0,0,1,0,1,0,28,0,0,0,1,0,2,0,0,0,2,0,2,1,0,1,0,3,0,0,0,0,1
"12",1,1,2,1,2,1,0,2,0,2,0,0,0,0,1,266,0,0,0,0,0,0,17,0,0,0,0,1,1,1,0,2
"13",0,0,1,0,0,0,0,0,0,1,1,0,0,316,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1
"14",2,0,0,1,0,0,0,0,0,1,35,0,309,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"15",3,0,0,1,1,0,1,307,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
"16",1,2,0,0,28,4,4,0,0,2,0,0,6,2,1,0,0,0,0,186,2,0,0,0,0,0,0,0,0,0,0,0
"17",2,5,0,0,2,1,1,0,0,0,0,0,2,0,1,0,1,0,2,2,0,0,1,0,251,0,0,1,0,0,0,2
"18",2,3,1,0,0,0,0,0,0,0,303,0,2,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
"19",3,0,2,0,1,0,11,0,0,0,215,3,69,1,1,1,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,1
"20",4,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,2,0,291,1,0,1,0,0,1,0,0,0,0
"21",3,212,2,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
"22",0,27,0,3,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,6,0,0,0,0,42,0,0,0,0,0
"23",0,201,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2
"24",0,0,0,0,0,0,154,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,126,0,0,0,0,0,1,0,1,0,0,2,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0
"26",0,0,1,0,116,2,0,0,0,1,0,1,0,0,0,1,0,0,0,65,1,0,0,0,0,0,0,1,0,32,0,1
"27",7,2,0,2,0,2,4,0,0,0,197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"28",3,0,0,0,0,1,93,0,0,0,2,0,2,1,1,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,2
"W",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"Z",2,2,13,1,2,0,8,47,1,1,0,0,1,177,22,9,0,1,0,5,124,7,193,0,90,0,9,0,0,0,0,1
