"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",25,2,0,600,1,246,48,173,1,1,8,119,226,1,156,4,31,0,0
"2",1,268,0,72,147,62,2,265,1,80,2,0,125,23,1,1,1,1,2
"3",99,0,48,0,0,1,337,0,43,445,0,1,0,0,2,2,0,0,0
"4",0,2,0,0,1,5,44,0,543,2,0,225,1,1,1,1,1,1,0
"5",0,0,0,0,0,0,0,0,0,1,422,1,0,0,318,0,0,0,1
"6",0,0,414,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
"7",1,0,0,1,0,0,0,3,0,0,0,0,44,0,0,1,357,0,0
"8",120,0,0,0,0,1,2,0,0,1,6,1,0,0,1,0,296,2,0
"9",0,0,0,0,1,2,1,0,1,0,0,0,240,0,1,1,95,1,1
"10",0,0,0,0,0,0,0,1,0,1,335,0,0,0,0,0,0,1,0
"11",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,287
"12",0,0,0,0,1,0,0,257,1,0,0,2,0,17,0,0,0,0,0
"13",0,0,0,0,0,268,0,0,1,0,0,0,0,0,0,0,0,0,0
"14",0,0,2,0,0,0,0,1,1,0,0,2,1,1,0,33,0,288,1
"15",0,0,0,0,287,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"16",1,0,0,1,0,3,1,0,0,8,0,0,0,0,0,0,1,0,0
"17",0,0,1,0,0,0,0,0,0,2,0,0,1,231,0,0,2,1,0
"18",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,242,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,201,0,59,0
"20",0,1,0,0,0,0,272,0,0,0,2,0,0,0,0,1,0,0,0
"21",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,164,0,1
"22",0,0,0,0,0,0,32,2,66,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0
"24",0,0,0,0,0,2,0,0,0,0,0,0,0,0,145,0,0,0,1
"25",64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0
"26",84,0,0,1,0,0,0,0,0,62,0,0,0,0,0,0,46,0,0
"27",0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,174,0,0,0
"28",0,0,0,0,0,0,1,176,0,0,1,0,0,0,0,1,0,1,0
"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",0,0,0,0,42,273,1,4,21,1,1,0,0,236,1,0,3,1,2
