"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",51,113,261,2,1,1,14,2,38,178,360,0,46,159,1,4,232,1,1,1,104
"2",11,151,210,86,0,55,2,268,78,1,0,0,1,0,21,1,0,136,1,2,0
"3",151,0,0,429,0,0,0,40,0,63,0,0,252,3,0,3,0,0,0,0,0
"4",32,1,0,1,475,1,0,39,2,14,0,1,28,1,1,1,1,1,0,1,217
"5",0,0,0,1,0,0,412,0,0,0,0,0,1,311,1,1,0,0,1,2,1
"6",1,0,1,0,1,0,0,0,408,0,0,0,1,1,0,0,0,0,0,0,0
"7",1,26,16,0,0,0,1,0,0,1,1,312,40,0,0,1,0,0,0,0,0
"8",405,0,0,1,0,0,7,0,0,1,0,0,1,1,0,1,0,0,0,1,1
"9",0,233,8,0,0,1,0,0,0,1,0,78,15,0,0,2,0,0,0,0,0
"10",1,0,2,1,0,0,322,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"11",0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,31,248,0
"12",1,214,0,0,0,1,0,0,0,0,34,0,0,0,15,0,0,0,0,0,2
"13",0,0,0,1,0,257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,1,66,0,0,0,0,0,2,0,1,0,1,0,2,31,0,0,2,208,2
"15",0,1,0,0,0,0,0,0,0,107,152,0,0,0,0,1,0,0,1,0,0
"16",2,0,0,9,0,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"17",0,1,0,1,0,1,0,0,1,0,0,1,0,0,229,0,0,0,1,1,0
"18",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0
"19",0,0,47,1,0,0,1,0,0,0,0,0,0,3,2,182,0,0,0,1,1
"20",0,0,0,0,0,0,2,1,0,256,1,0,0,0,1,0,0,0,0,0,0
"21",188,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"22",0,0,2,0,0,0,0,64,0,6,0,0,24,0,0,0,0,0,0,0,0
"23",171,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,1,134,0,0,1,0,1,0,0
"25",99,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"26",139,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"27",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,168,0,0,0,0,0
"28",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,181,1,0
"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",12,2,1,1,0,260,1,9,0,0,0,0,2,0,226,1,0,39,1,1,0
