"1","2","3","4","5","6","7","8","Un","X"
"1",3,60,2,510,1,2,264,652,41,0
"2",5,2,547,1,0,139,0,313,36,0
"3",348,593,0,3,1,0,1,2,11,0
"4",35,4,1,4,543,3,2,0,17,201
"5",424,0,0,1,228,1,0,5,48,1
"6",392,1,0,0,3,1,0,0,19,0
"7",1,29,0,252,0,0,112,1,7,0
"8",10,378,0,0,2,3,2,0,16,0
"9",1,65,1,61,0,0,204,0,10,1
"10",329,3,1,1,0,0,0,2,0,0
"11",284,0,0,0,0,2,0,0,0,1
"12",0,0,1,0,1,255,0,0,8,2
"13",259,0,0,0,0,0,0,0,0,0
"14",1,0,0,2,0,331,0,1,0,0
"15",0,0,249,0,0,0,0,0,21,0
"16",2,12,0,0,0,0,0,0,0,0
"17",234,4,0,1,0,1,0,0,0,0
"18",0,220,0,0,0,3,0,0,9,0
"19",4,217,1,3,0,1,7,2,11,1
"20",276,0,2,0,0,0,0,0,2,0
"21",2,17,0,160,0,0,0,0,14,0
"22",98,0,0,0,0,0,0,0,0,0
"23",0,0,1,182,0,0,0,0,2,0
"24",0,0,0,144,0,0,0,0,0,0
"25",0,100,0,0,0,1,1,0,0,0
"26",0,199,0,0,0,0,0,1,0,0
"27",3,174,1,0,0,0,0,0,2,0
"28",2,0,179,0,0,1,0,0,5,0
"W",0,0,0,0,0,0,0,0,0,0
"Z",10,1,289,2,13,255,0,1,1,0
