"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",1857,2,0,1,4,7,2,2,0,2,2,3,0,0,0,2,1,1,3,0,1,0,2,1
"3",5,3,978,0,0,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,10,0
"4",3,2,1,677,3,2,1,2,2,1,0,1,1,2,0,2,0,0,1,3,0,0,0,0
"5",0,1,1,2,508,1,1,1,2,1,1,2,0,0,0,2,858,0,1,0,0,1,0,0
"6",4,0,1,1,0,937,1,1,0,2,1,4,0,0,1,0,1,0,1,0,1,1,0,0
"7",0,2,1,0,0,2,804,0,2,0,1,3,0,0,1,1,4,0,1,0,0,0,0,0
"8",2,1,0,8,1,1,0,627,2,0,5,2,1,0,2,0,0,0,0,0,0,1,6,2
"9",2,2,1,2,0,0,1,0,707,1,3,2,0,0,0,3,1,0,1,0,0,0,0,0
"10",0,1,2,11,2,1,0,0,0,704,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"11",3,3,2,1,1,0,3,2,0,0,1146,0,0,3,1,4,1,0,1,2,2,0,0,1
"12",4,1,1,0,0,5,3,5,0,0,0,934,0,1,1,1,2,2,1,0,0,0,0,0
"13",0,2,0,0,1,0,0,0,0,1,0,0,294,0,1,0,0,0,0,0,0,0,0,0
"14",0,0,0,1,0,1,0,0,1,0,0,0,0,546,1,1,0,0,0,0,0,0,0,1
"15",0,0,1,1,0,0,2,0,4,0,0,1,0,2,554,0,0,1,2,0,3,0,0,0
"16",1,1,1,0,0,0,4,0,0,0,0,0,2,0,0,785,2,0,2,0,1,0,0,0
"17",1,0,0,0,269,1,0,1,1,0,1,2,0,1,0,0,239,2,1,0,0,0,2,3
"18",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,6,0,282,0,0,0,0,0,0
"19",1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,2,0,2,1208,0,0,0,0,0
"20",1,0,1,0,1,2,0,0,1,0,2,0,0,0,0,1,1,0,0,492,0,0,0,0
"21",1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,170,0,0,0
"22",0,3,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,2,0,0,390,0,0
"X",2,2,1,0,1,0,0,0,4,1,2,0,0,2,0,0,1,1,1,1,0,2,31,743
"2a",0,573,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0
"2b",1,573,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,0,1,1,0,1,0,0
