"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",441,1,422,611,24,6,3,40,0,0,28,0,19,3,0,3,0,0,0,0,0
"3",1,0,120,0,0,135,0,0,296,1,1,0,0,83,1,246,12,0,0,0,0
"4",1,1,154,2,312,18,1,103,0,0,0,1,0,0,0,0,0,0,0,0,0
"5",8,0,0,2,1,2,1,1,0,0,844,0,94,0,0,1,17,175,0,0,0
"6",35,0,1,42,0,0,1,0,55,199,0,0,130,3,0,1,341,0,0,0,0
"7",0,1,0,0,287,278,0,0,13,0,44,53,16,0,1,0,0,0,0,0,0
"8",51,0,39,58,0,0,1,120,0,0,0,0,3,83,190,5,1,0,0,0,0
"9",0,229,0,237,0,0,1,0,0,0,0,0,61,0,0,0,0,0,67,0,0
"10",1,79,1,0,0,15,79,4,0,74,1,0,19,85,0,0,0,20,215,0,0
"11",0,169,0,1,0,0,333,0,264,1,0,0,0,1,0,0,0,0,252,0,0
"12",0,0,0,1,183,216,1,0,0,265,1,0,1,0,166,3,1,0,0,0,0
"13",7,0,20,0,36,0,0,50,0,0,0,0,0,152,0,0,0,0,0,0,0
"14",0,1,0,1,0,0,0,0,0,0,0,354,0,137,0,0,0,0,0,0,0
"15",0,140,0,1,0,0,125,0,205,0,1,0,0,1,0,0,1,0,0,0,0
"16",0,1,0,1,0,0,154,298,0,0,7,0,0,2,0,83,113,0,0,0,1
"17",0,0,0,0,0,0,0,0,0,0,212,0,167,0,79,0,1,1,0,0,0
"18",21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,171,0,0,0
"19",1,1,0,0,0,1,483,171,60,115,1,1,4,0,0,0,78,0,0,0,1
"20",0,441,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,96,18,0,0,0,0
"22",1,0,0,0,24,11,0,5,0,29,45,0,0,0,164,49,0,0,0,0,1
"X",0,1,0,1,2,1,2,0,1,0,2,1,1,0,0,0,0,1,1,0,508
"2a",58,40,0,0,45,115,2,0,1,7,54,88,0,1,0,0,92,0,0,0,0
"2b",338,154,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14,0,0,0
