"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",35,495,48,17,953,17,9,12,7,54,15,11,489,203,27,13,28,10,39,5,32
"3",16,139,10,180,7,13,12,371,14,12,300,5,3,9,37,62,2,7,5,7,9
"4",25,184,14,26,10,8,8,21,8,10,4,2,5,399,9,75,5,7,38,3,11
"5",19,71,15,15,11,9,10,7,22,1016,7,10,3,9,6,10,68,213,2,3,12
"6",207,12,11,19,49,9,8,71,151,6,4,9,6,5,6,2,183,3,4,345,11
"7",38,23,13,482,13,70,7,31,9,12,4,255,2,47,1,2,23,2,6,1,11
"8",30,55,9,7,117,9,221,14,3,4,7,3,3,6,95,152,2,5,2,2,8
"9",83,5,271,13,337,8,8,12,7,8,2,9,4,5,2,8,78,4,4,1,2
"10",391,7,14,32,4,4,2,3,10,5,4,0,3,9,36,68,165,6,7,83,4
"11",781,36,268,44,6,6,3,381,3,10,5,3,4,6,13,5,1,1,4,5,4
"12",14,4,9,328,6,11,437,17,16,14,7,212,7,6,8,5,4,3,5,6,54
"13",3,23,5,2,1,2,1,10,9,2,0,39,0,3,158,55,0,1,1,2,2
"14",13,3,8,13,4,553,3,11,2,5,0,1,1,1,200,2,1,3,1,1,4
"15",140,3,187,1,10,80,4,231,8,5,1,4,5,4,6,1,4,2,3,8,4
"16",209,9,11,4,3,68,2,5,2,264,0,5,4,2,3,8,1,1,339,4,4
"17",46,232,4,7,4,5,5,5,3,281,1,7,2,2,3,4,2,4,4,5,8
"18",1,2,8,1,2,1,2,1,30,2,2,2,23,3,0,1,1,188,0,1,2
"19",808,47,9,4,5,22,189,78,65,13,2,51,7,4,1,108,4,0,57,4,10
"20",14,23,485,6,3,6,2,5,5,1,1,4,7,5,2,5,5,1,3,4,5
"21",5,2,1,18,3,1,1,5,1,0,112,0,1,2,2,2,0,0,0,54,1
"22",11,8,2,20,1,6,212,2,1,4,67,19,1,51,3,1,0,1,7,38,6
"X",114,23,26,13,16,9,12,12,9,12,3,16,4,16,20,7,7,16,3,7,588
"2a",11,25,121,190,4,257,6,3,78,8,3,5,0,62,6,1,8,4,6,16,3
"2b",12,11,183,14,8,8,5,6,331,11,3,5,48,2,4,5,5,19,3,5,9
