"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",0,2,0,1,0,1,862,1,1,1,0,1,0,1,0,0,0,466,313,0,0,0,0,0
"2",1,2,1,0,1,523,0,0,0,0,1,0,0,520,0,0,0,0,1,0,0,0,0,0
"3",0,0,0,0,0,0,0,1,0,0,0,0,0,1,608,0,298,0,0,0,20,0,0,0
"4",1,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"5",0,709,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"6",1,0,0,807,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"7",1,199,1,0,0,0,3,524,0,2,1,0,0,1,0,0,7,0,1,0,0,0,0,0
"8",0,0,1,0,0,0,0,0,0,0,0,0,212,0,0,368,0,0,0,0,0,0,0,0
"9",608,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0
"10",0,0,0,1,0,0,126,0,0,0,1,478,0,0,1,0,0,0,0,0,0,2,0,0
"11",0,2,1,1,1,0,0,0,0,0,1046,0,1,1,0,1,0,0,0,0,0,0,0,0
"12",0,0,3,0,2,0,1,1,798,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"13",157,0,0,0,122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,0,0,0,0,1,0,1,1,506,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"15",0,0,0,0,0,129,0,0,0,306,1,0,0,0,0,0,0,13,0,0,0,0,11,0
"16",0,0,0,0,0,0,1,0,2,1,0,345,0,0,1,0,0,0,1,310,0,8,0,0
"17",3,1,0,0,883,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4
"18",0,0,0,0,0,0,0,1,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0
"19",3,2,1,2,1,1,0,1,1,0,2,3,0,1,0,1,2,1,0,0,1,963,0,0
"20",0,0,0,0,456,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0
"22",290,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Y",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"X",1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,583
