"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",4,1,0,1,0,0,0,0,0,0,0,1,1036,1,0,289,2,1,1,0,0,1
"2",2,480,1,1,0,0,441,1,1,0,0,0,0,0,1,0,3,0,0,0,0,1
"3",0,0,1,0,0,0,0,0,329,0,0,1,0,512,1,0,0,0,0,0,0,0
"4",1,174,0,1,0,0,0,0,2,0,0,0,1,0,341,1,2,0,0,0,0,0
"5",0,2,360,1,0,1,2,0,1,0,232,0,0,0,0,0,0,0,0,0,1,0
"6",0,0,0,0,0,0,0,1,2,0,0,747,0,1,0,0,1,0,0,0,0,1
"7",0,1,3,1,0,36,190,0,0,207,0,0,43,1,0,0,0,0,0,0,0,2
"8",1,90,270,0,0,0,1,0,0,0,1,0,0,1,9,0,0,2,0,0,0,0
"9",341,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,1
"10",0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,96,0,390,0,0,0,1
"11",706,2,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0
"12",0,1,0,352,1,1,0,248,0,2,2,2,0,0,1,1,0,0,0,0,91,0
"13",1,0,0,0,0,0,1,149,1,0,0,0,0,1,0,1,0,0,0,0,0,1
"14",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,166,0,2
"15",0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,293,0,0,0,0,0
"16",2,1,1,0,207,158,1,1,0,1,0,1,0,0,3,1,0,0,1,0,0,0
"17",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,725,0,0,0
"18",0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",4,1,0,3,75,0,3,0,0,0,0,2,3,3,0,0,2,0,0,0,0,4
"20",1,0,0,240,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,1,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
"22",0,1,0,49,0,0,0,4,0,0,1,0,2,1,0,0,0,0,0,0,46,0
"Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"X",2,1,0,0,0,0,1,2,1,1,0,0,2,5,1,0,1,1,0,0,0,419
