"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","X"
"1",266,11,69,240,622,7,16,5,12,13,64,271,56,13,139,17,27,9,17,5,12,14,64,3,6,3,6,3,64,206
"2",7,1,29,0,4,2,8,46,386,2,277,1,71,4,6,108,2,5,2,1,4,1,115,0,0,1,11,52,3,5
"3",1,2,2,31,3,7,2,26,2,6,0,0,5,304,3,2,0,5,7,56,3,3,102,160,1,0,1,0,1,2
"4",2,1,1,3,8,410,9,22,3,10,31,2,36,0,1,1,104,0,2,0,1,0,2,0,3,0,84,0,1,41
"5",2,1,3,1,2,1,2,1,2,312,28,1,6,0,209,0,0,1,0,0,200,0,1,2,2,0,1,1,132,7
"6",40,6,1,205,4,0,20,0,2,1,3,0,79,3,0,0,2,4,4,0,0,119,2,2,1,0,10,0,0,2
"7",43,353,42,4,5,0,1,0,2,1,1,0,0,0,0,1,3,2,1,0,0,1,5,0,0,2,0,0,0,8
"8",0,2,2,0,0,9,7,8,2,1,19,10,0,2,3,0,1,0,0,1,2,0,0,0,0,295,2,163,0,0
"9",6,4,1,0,0,3,1,4,2,2,1,6,1,3,4,3,0,14,0,1,1,0,2,2,0,1,1,0,1,205
"10",0,0,319,0,3,0,4,5,2,1,5,0,3,0,0,115,2,0,2,0,9,0,1,0,3,0,1,0,1,11
"11",259,69,37,2,2,0,1,0,2,2,0,1,2,0,2,0,2,1,3,0,0,2,0,0,2,0,0,0,1,3
"12",1,4,3,1,0,0,0,1,0,174,0,0,2,1,0,0,6,2,1,0,180,0,12,0,2,0,0,0,2,5
"13",0,1,4,0,0,0,1,0,0,3,1,0,1,0,0,1,0,298,0,0,1,1,1,0,0,0,3,0,16,2
"14",0,0,22,0,0,2,5,18,0,1,1,0,0,0,1,0,1,1,1,0,0,275,0,0,1,1,0,0,0,6
"15",2,0,0,0,0,2,240,1,0,8,1,0,0,0,0,1,3,0,1,30,0,0,0,1,0,0,0,0,0,3
"16",1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,33,0,0,0,0,1,310,0,0,1,1,1
"17",3,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,309,1,2,1,1,0,0,0,0,0,0,0,1,2
"18",0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"19",0,0,5,0,0,0,4,35,0,1,202,1,0,0,0,1,0,1,1,0,1,0,3,0,1,2,0,2,1,1
"20",4,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,267,0,0,1,0,0,2,0,1,0,0,0
"21",0,0,3,1,0,0,4,1,1,3,1,0,0,0,7,0,1,1,197,0,0,2,2,0,72,0,0,0,0,1
"22",1,0,0,1,1,1,5,1,6,3,2,0,290,1,35,0,0,0,2,0,1,0,1,2,0,1,0,0,0,0
"23",3,58,10,0,0,1,0,0,0,0,0,0,0,1,4,143,1,2,1,0,0,0,0,0,0,0,0,1,0,3
"24",1,1,0,0,0,0,0,30,1,1,13,0,9,0,1,0,0,0,4,1,0,0,0,0,0,0,41,0,0,0
"25",2,117,73,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"26",1,0,1,0,0,0,0,0,0,1,0,1,0,0,97,0,0,1,0,0,0,0,0,0,0,0,0,0,44,0
"27",0,0,46,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"28",1,3,53,0,1,1,0,0,0,0,0,0,0,0,1,81,1,0,1,1,0,1,51,0,2,0,0,0,0,2
"29",0,0,2,2,2,0,1,0,0,1,0,0,1,1,0,1,0,0,181,0,0,0,1,0,0,0,0,0,2,2
"30",1,1,0,0,2,1,181,0,0,4,2,0,0,0,0,1,0,0,2,1,2,0,1,0,0,0,0,0,0,3
"Z",2,1,3,2,4,12,85,221,1,50,4,0,2,2,1,9,1,10,0,127,4,5,2,46,1,0,7,0,1,10
