"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",13,2,0,176,55,252,142,6,2,7,4,1,0,0,48,1,229,0,102,6,3,0,2,0,0,126,0,287,41,0,0,113
"2",47,33,0,0,48,0,5,0,1,216,2,3,0,2,262,0,1,0,0,112,1,59,0,0,0,0,12,0,0,67,101,0
"3",1,1,0,25,1,2,0,146,265,4,7,0,0,2,0,0,0,0,1,79,49,0,3,2,22,0,0,0,0,1,0,0
"4",0,171,296,0,0,8,0,0,0,1,1,0,1,1,28,0,0,0,0,1,0,17,1,0,0,0,77,0,0,0,0,34
"5",149,0,0,0,0,0,101,0,0,1,0,207,0,1,12,0,0,0,0,0,0,3,0,275,1,0,0,0,0,0,0,1
"6",0,0,0,180,0,0,0,1,0,0,1,0,0,8,0,148,0,1,0,0,0,1,0,0,1,0,0,0,71,0,0,0
"7",0,1,0,0,0,83,0,0,0,0,0,0,0,0,0,4,0,263,23,5,0,0,0,0,0,13,0,0,0,1,0,0
"8",401,1,2,0,0,0,3,0,0,0,0,0,0,0,5,0,10,0,1,0,3,0,0,0,17,0,0,0,0,0,0,0
"9",0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,190
"10",1,114,0,0,260,4,1,0,0,1,0,0,2,0,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,24,0,4
"11",0,0,0,0,7,75,0,0,0,2,2,1,2,0,0,78,1,14,146,0,0,1,0,0,0,7,0,0,0,0,0,0
"12",314,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"13",1,1,247,0,1,0,0,0,0,30,0,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"14",1,0,0,0,0,0,1,0,0,1,0,0,0,3,0,237,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,2
"15",1,0,1,0,0,0,0,0,0,0,1,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2,0,0,1,0,0,0,1,1,1,30,0,279,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17",0,0,0,0,0,1,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"19",3,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,207,0,0,0,0,0,0,1
"20",0,0,0,0,0,0,4,0,0,0,234,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1,0,0,0,1,3,1,0,0,0,185,0,65,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"22",3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,260,0,0,0,0,0,1,0,0,0,0
"23",1,188,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,24,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,37,0,0,0,0,0
"25",0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,134,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,92,0,0,1,0,0,0,0,1,0,0,0,0,1,0,44,0,0,0,0,0,0,0,0,0,27,0,0
"29",1,0,0,1,0,1,0,0,0,0,150,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"30",1,0,0,0,0,0,70,0,0,0,1,0,0,1,1,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0
"Z",4,1,11,1,2,0,0,32,0,1,0,0,0,130,2,0,0,0,0,1,91,0,124,0,64,0,5,0,1,0,0,0
