"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",37,12,4,666,15,285,68,231,9,62,25,159,273,4,186,10,55,4,8
"2",150,1,51,1,0,3,369,5,54,532,3,10,8,2,6,3,10,0,4
"3",3,300,0,4,168,62,5,31,7,90,8,3,1,27,1,8,6,1,5
"4",0,0,1,13,1,8,47,3,604,4,8,43,5,2,3,1,1,1,2
"5",0,1,0,3,1,2,25,0,4,8,496,13,1,3,364,1,0,2,2
"6",1,8,3,83,7,29,2,255,10,7,10,10,145,4,7,6,12,1,6
"7",3,1,1,4,2,9,2,5,2,5,3,3,50,0,1,1,389,0,3
"8",1,1,458,0,1,11,8,6,10,1,1,0,0,19,2,0,2,0,0
"9",2,2,2,7,3,6,1,1,4,3,2,198,4,4,5,0,2,2,0
"10",137,0,0,3,0,0,5,2,0,1,7,6,1,2,1,1,297,2,0
"11",0,0,0,4,1,3,2,8,2,0,0,3,248,0,3,2,101,2,3
"12",2,0,0,3,1,2,1,2,1,4,356,4,0,1,1,0,2,2,0
"13",1,0,1,1,1,1,1,1,2,1,1,1,0,0,13,0,1,0,305
"14",2,0,2,0,0,4,2,271,2,0,4,6,1,17,1,0,12,1,0
"15",2,0,1,0,0,286,0,1,5,2,2,3,0,1,1,1,0,0,1
"16",2,2,2,0,2,0,1,7,2,0,1,3,1,0,2,36,0,308,1
"17",2,0,1,2,321,0,1,1,2,1,0,0,3,2,0,0,0,0,1
"18",0,0,1,0,0,5,0,5,0,1,0,0,0,0,0,2,1,0,0
"19",7,1,3,3,1,2,4,2,8,4,1,3,5,231,2,0,4,2,1
"20",2,0,1,1,0,1,0,1,2,0,1,0,3,1,5,278,1,1,0
"21",1,1,0,0,0,4,0,3,1,1,0,4,0,2,8,198,3,71,1
"22",0,2,0,1,3,0,294,2,2,4,4,0,0,2,27,1,0,0,0
"23",0,1,1,0,0,1,0,0,2,0,1,2,4,0,1,1,170,1,2
"24",0,0,0,0,0,1,21,0,65,1,0,0,0,0,0,2,0,0,0
"25",0,1,0,0,1,0,1,0,2,3,0,4,0,0,0,0,184,0,0
"26",0,0,0,0,0,1,1,0,0,0,0,0,1,0,147,0,2,0,1
"27",9,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,36,0,0
"28",85,0,0,2,1,0,0,1,0,54,0,1,2,0,1,0,47,1,1
"29",1,0,0,4,0,1,2,3,0,0,2,3,1,0,1,174,1,0,1
"30",0,0,0,2,0,4,1,165,0,0,4,2,0,0,0,1,0,0,1
"W",1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1
"Z",8,2,1,4,46,267,4,9,27,4,12,7,0,230,1,0,3,1,5
