"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",29,2,2,590,6,232,46,177,0,4,7,114,225,1,136,5,31,0,5
"2",113,1,46,0,0,1,325,3,44,431,0,1,0,0,5,2,1,0,0
"3",2,259,0,2,146,53,0,23,2,73,3,0,0,22,0,7,0,0,5
"4",0,0,1,7,0,3,43,2,522,2,0,34,0,1,1,1,0,1,0
"5",0,0,0,0,0,0,14,0,0,2,412,1,0,0,306,0,0,0,0
"6",0,0,0,65,2,9,1,208,0,0,0,0,123,1,0,1,1,0,0
"7",1,0,0,3,0,0,0,2,0,5,0,0,40,0,0,0,337,0,0
"8",0,0,401,0,0,10,5,5,3,0,1,0,0,18,2,0,0,0,0
"9",1,2,0,0,1,4,0,0,1,0,0,178,2,1,2,0,1,0,0
"10",122,0,0,1,0,0,4,0,0,1,6,4,0,1,1,0,282,2,0
"11",0,0,0,1,1,1,1,0,1,0,0,1,224,0,2,1,88,1,1
"12",2,0,0,0,0,0,0,1,0,1,314,0,0,0,1,0,1,1,0
"13",1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0,278
"14",1,0,0,0,0,3,0,245,0,0,1,2,1,17,1,0,0,0,0
"15",0,0,0,0,0,250,0,0,2,0,1,0,0,0,0,0,0,0,0
"16",0,1,2,0,1,0,0,1,1,0,0,1,1,0,0,31,0,279,1
"17",0,0,0,1,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0
"19",2,0,3,0,0,0,0,0,0,2,0,1,1,206,0,0,1,1,1
"20",0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,230,0,0,0
"21",1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,180,3,64,0
"22",0,1,0,1,0,0,260,0,1,3,2,0,0,0,0,1,0,0,0
"23",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,156,0,1
"24",0,0,0,0,0,0,19,0,62,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0
"26",0,0,0,0,0,1,0,0,0,0,0,0,0,0,134,0,0,0,1
"27",9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,33,0,0
"28",73,0,0,1,1,0,0,0,0,47,0,0,0,0,0,0,43,1,0
"29",0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,145,0,0,0
"30",0,0,0,0,0,1,1,148,0,0,1,0,0,0,0,1,0,0,0
"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",0,0,0,0,31,212,2,1,17,2,4,1,0,187,0,0,0,1,1
