"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",91,35,66,6,79,349,132,50,82,208,22,43,74,187,212,254,35,9,6,79,142
"2",151,85,17,42,36,9,9,49,60,222,64,90,19,42,2,2,245,0,4,0,6
"3",71,6,36,86,4,7,7,3,2,3,24,5,155,4,177,7,31,116,0,0,4
"4",1,22,157,1,296,46,3,140,1,3,3,3,4,11,10,1,1,3,1,4,62
"5",1,223,3,3,2,12,174,2,0,2,1,437,2,32,0,1,5,0,96,0,9
"6",3,46,2,0,54,85,1,5,142,2,24,26,38,27,5,2,13,21,1,0,0
"7",268,154,2,1,1,0,5,3,6,16,0,1,2,0,3,27,6,4,0,0,0
"8",4,17,5,1,5,15,69,13,0,72,0,2,0,87,0,0,3,0,246,0,0
"9",7,1,0,3,7,3,5,3,2,1,1,1,2,1,2,4,3,1,1,0,204
"10",136,5,124,162,23,12,3,0,1,3,1,6,1,0,0,0,0,0,4,0,4
"11",95,3,114,1,1,3,1,0,53,9,3,0,1,1,1,91,0,10,0,0,3
"12",1,52,2,0,2,2,106,0,204,1,0,0,1,0,1,0,5,1,2,0,2
"13",1,1,1,1,1,1,71,274,1,0,0,0,1,3,0,0,0,0,5,0,2
"14",1,0,6,0,9,125,1,2,81,0,0,1,17,70,1,0,1,6,1,0,5
"15",0,1,3,0,3,3,1,0,1,0,136,0,51,0,0,0,7,90,0,0,1
"16",0,0,0,0,76,1,74,0,1,0,43,2,0,3,2,68,91,2,0,0,3
"17",0,0,0,1,213,1,2,1,2,24,32,0,1,0,0,46,1,0,0,0,0
"18",0,0,0,1,0,0,0,0,4,0,7,0,0,1,0,0,1,0,0,0,0
"19",3,202,4,30,1,2,3,1,2,2,0,0,1,0,2,1,5,1,2,0,1
"20",2,0,1,1,2,0,1,0,5,0,271,0,0,0,1,0,1,0,0,0,1
"21",3,1,1,1,71,0,13,1,3,0,205,0,2,4,0,0,0,0,0,0,1
"22",3,358,11,0,1,0,1,0,0,1,0,0,1,0,1,1,3,0,1,0,0
"23",0,0,1,206,0,0,0,2,0,0,1,0,0,1,0,2,0,1,0,0,1
"24",0,11,0,0,2,10,0,41,0,0,0,0,1,26,0,0,1,0,1,0,0
"25",0,0,3,175,4,0,0,0,0,3,0,0,0,2,0,0,3,1,0,0,1
"26",0,0,0,0,0,1,1,0,142,0,0,0,0,1,0,1,0,0,0,0,0
"27",0,0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"28",84,1,57,0,0,1,1,0,0,1,1,0,0,0,0,1,52,0,0,0,2
"29",0,0,15,0,1,0,0,1,2,0,181,1,0,1,1,0,0,2,0,0,1
"30",1,0,0,0,0,1,1,56,3,80,3,2,0,2,3,0,39,2,0,0,5
"Z",12,2,1,140,14,2,3,10,1,5,4,7,195,6,47,0,11,85,54,75,13
