"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",73,35,52,3,68,295,99,43,63,187,10,23,10,142,185,205,26,1,1,0,89
"2",130,74,13,39,30,4,4,46,52,191,51,80,17,36,1,0,208,0,3,0,0
"3",66,1,30,79,3,6,5,1,0,2,22,5,106,0,160,5,23,105,0,0,0
"4",0,17,135,0,265,41,1,130,0,3,2,0,1,0,8,0,1,1,0,0,30
"5",0,190,0,1,0,10,147,0,0,1,0,320,0,29,0,0,0,0,58,0,1
"6",1,43,0,0,45,78,0,4,128,0,15,25,28,23,0,0,11,19,0,0,0
"7",205,136,0,0,0,0,1,0,4,13,0,0,0,0,2,24,5,4,0,0,0
"8",3,15,1,1,1,12,64,11,0,65,0,1,0,76,0,0,3,0,195,0,0
"9",2,0,0,1,3,0,2,1,1,0,0,0,0,0,2,1,0,1,0,0,177
"10",122,3,115,141,23,6,3,0,1,2,0,5,0,0,0,0,0,0,1,0,4
"11",84,2,103,0,1,1,1,0,43,7,2,0,0,1,1,85,0,9,0,0,0
"12",1,44,0,0,1,1,97,0,179,0,0,0,0,0,0,0,1,0,1,0,0
"13",1,0,1,1,0,1,32,249,0,0,0,0,1,1,0,0,0,0,4,0,1
"14",1,0,1,0,0,115,1,0,72,0,0,0,17,62,0,0,0,3,0,0,2
"15",0,1,0,0,0,0,0,0,0,0,120,0,47,0,0,0,6,80,0,0,0
"16",0,0,0,0,72,0,64,0,1,0,37,0,0,2,1,64,82,1,0,0,1
"17",0,0,0,0,192,0,0,0,0,19,26,0,0,0,0,45,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0
"19",1,186,2,25,0,0,2,0,0,1,0,0,0,0,0,1,2,0,2,0,1
"20",0,0,0,0,1,0,0,0,5,0,232,0,0,0,0,0,0,0,0,0,0
"21",3,1,1,1,64,0,2,0,1,0,185,0,0,1,0,0,0,0,0,0,1
"22",2,267,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"23",0,0,0,196,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
"24",0,9,0,0,0,10,0,39,0,0,0,0,0,22,0,0,0,0,0,0,0
"25",0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"26",0,0,0,0,0,0,1,0,134,0,0,0,0,1,0,0,0,0,0,0,0
"27",0,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"28",74,0,49,0,0,0,1,0,0,0,0,0,0,0,0,1,45,0,0,0,0
"29",0,0,0,0,1,0,0,1,0,0,152,0,0,1,1,0,0,0,0,0,0
"30",1,0,0,0,0,0,0,51,1,72,1,0,0,1,0,0,30,1,0,0,0
"Z",6,0,0,115,11,2,1,6,1,0,3,2,160,2,35,0,7,71,47,0,0
