"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",74,144,336,61,7,12,22,7,53,190,420,5,66,171,6,10,257,2,15,4,137
"2",166,10,3,474,4,2,2,56,4,70,2,2,283,7,1,3,1,2,4,1,7
"3",3,6,26,86,7,61,5,293,2,4,6,2,0,0,24,7,1,161,4,4,5
"4",36,5,3,3,521,8,10,38,2,21,8,1,31,1,3,2,0,1,3,5,34
"5",3,1,3,5,3,2,475,3,2,5,4,2,19,337,3,6,2,1,1,0,14
"6",10,161,201,6,4,5,3,4,79,3,4,3,0,1,3,3,1,1,5,2,3
"7",3,32,16,6,0,0,0,0,4,1,6,326,47,1,2,0,0,0,4,1,1
"8",6,3,2,1,10,0,1,4,450,1,1,0,9,3,18,0,11,1,7,0,2
"9",4,3,0,3,4,3,2,3,2,2,0,1,2,6,3,0,5,3,3,0,208
"10",415,0,1,3,1,0,8,1,0,1,2,0,9,1,4,1,0,0,0,2,4
"11",1,241,11,3,0,2,1,0,0,1,2,88,16,3,1,2,2,0,1,0,1
"12",5,0,4,3,1,0,334,2,1,3,1,3,1,1,1,0,0,0,0,0,2
"13",4,1,0,0,0,1,1,6,0,1,1,0,1,18,0,0,0,0,34,255,1
"14",9,229,0,0,1,6,1,0,1,0,39,1,2,3,18,0,1,0,2,2,6
"15",4,3,3,4,3,270,4,1,1,2,0,1,2,0,1,1,0,3,1,2,3
"16",1,1,71,3,0,1,1,1,3,1,0,0,1,1,2,36,0,1,1,221,3
"17",1,3,1,0,1,1,1,1,1,107,186,0,2,1,0,1,1,0,2,0,0
"18",2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0
"19",7,3,3,3,2,2,13,0,7,5,3,1,1,1,219,0,0,0,2,1,1
"20",1,2,1,2,1,1,0,1,0,0,0,0,0,5,1,255,0,0,0,0,3
"21",6,2,72,3,0,1,2,0,0,1,0,3,0,11,2,196,0,0,0,2,1
"22",0,0,0,3,1,0,4,2,1,284,1,0,0,8,1,0,0,2,1,0,0
"23",203,5,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1
"24",0,0,2,0,0,1,0,68,0,9,0,0,13,0,0,2,0,0,0,0,0
"25",175,1,0,4,0,1,1,1,1,0,0,1,0,0,0,0,0,2,0,0,3
"26",1,1,1,0,0,2,0,1,0,0,2,0,0,135,0,0,1,1,1,0,0
"27",45,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"28",131,2,0,51,0,2,0,0,0,1,1,1,2,1,0,0,0,0,0,0,2
"29",2,2,3,0,0,1,1,1,2,1,3,0,0,3,1,176,1,0,2,0,2
"30",0,0,0,1,0,4,5,0,1,0,1,0,3,0,0,1,0,1,168,0,1
"Z",22,5,2,5,1,251,4,8,2,2,3,1,4,2,214,1,0,43,6,0,6
