"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",7,3,46,56,471,6,5,0,186,37,207,3,192,9,3,1,0,117,1,96
"2",313,8,239,17,0,1,88,0,34,61,0,1,0,75,11,0,55,0,0,0
"3",68,2,0,238,2,83,74,3,17,4,0,6,1,0,0,35,1,4,0,0
"4",1,4,25,0,5,0,1,407,0,0,0,1,0,18,45,0,39,0,0,31
"5",157,259,10,0,1,0,221,0,16,0,0,0,0,0,0,0,3,0,0,1
"6",0,9,0,0,0,1,0,0,79,64,0,0,132,0,1,0,1,87,0,0
"7",0,0,0,0,3,0,5,0,0,1,0,0,33,1,314,0,0,0,0,0
"8",11,7,4,3,0,2,2,3,1,0,8,0,0,373,0,0,0,0,0,0
"9",1,0,0,2,0,0,0,0,2,0,3,0,1,0,0,0,1,0,0,166
"10",5,1,4,107,2,152,0,0,69,22,0,0,0,0,0,0,1,0,0,4
"11",0,1,1,0,1,1,0,0,0,0,0,2,221,1,78,0,1,0,0,0
"12",181,0,1,3,0,0,119,0,0,0,0,0,0,0,1,0,1,0,0,0
"13",0,5,0,1,1,190,2,0,0,1,0,0,1,0,1,0,1,0,0,1
"14",0,3,15,0,0,0,4,0,1,0,0,0,229,0,0,0,0,0,0,2
"15",1,153,1,0,0,0,1,2,0,0,0,0,1,0,0,77,0,0,0,0
"16",1,0,232,2,0,2,0,1,1,6,0,8,1,2,0,0,0,0,0,2
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0
"18",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",175,0,2,2,0,1,3,0,0,0,0,0,1,3,1,0,0,0,0,0
"20",0,0,1,0,0,0,0,0,6,2,0,184,1,0,0,0,0,0,0,0
"21",2,0,58,1,0,1,1,0,1,0,0,146,0,0,3,0,0,0,0,0
"22",6,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,208,0,0,0
"23",0,0,0,0,0,165,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"24",0,0,10,0,0,0,0,0,0,0,0,0,0,21,23,0,22,0,0,0
"25",0,0,0,0,0,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,1,0,0,0,1,0,0,127,0,1,0,0,0,0,0,0,0,0,0
"27",0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,1,46,0,1,44,0,41,20,0,0,0,1,0,0,0,0,0,0
"29",0,1,0,0,2,0,1,0,0,0,0,135,0,0,0,0,0,1,0,1
"30",0,124,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",151,113,1,1,1,4,4,5,0,43,0,0,0,9,2,86,2,1,0,1
