"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","X"
"1",2,0,2,14,1,1,259,129,0,606,593,0,379,0,6,1,1,320,3,30,346,5,1,0,1,267,66,154,0,2
"2",48,21,705,0,2,0,28,1,350,1,1,0,0,0,0,329,0,1,738,0,0,0,303,1,104,1,0,46,0,0
"3",2,0,0,1,1,1,445,7,0,43,1,0,0,329,1,1,281,2,1,199,0,1,90,202,2,0,1,0,0,1
"4",278,454,92,0,1,0,4,0,1,1,0,122,0,0,319,108,0,244,1,0,1,1,3,0,1,0,0,0,115,55
"5",0,0,0,0,0,397,0,17,0,0,18,0,16,0,229,0,101,0,0,1,0,0,1,1,0,1,70,3,87,1
"6",0,0,0,60,0,0,27,303,0,8,0,0,0,1,1,0,0,0,38,0,0,330,0,1,415,0,0,0,1,3
"7",186,158,25,1,0,0,0,0,2,1,50,127,0,0,0,0,0,1,9,0,4,0,0,0,1,1,0,0,1,63
"8",36,0,0,360,530,0,0,0,1,1,1,0,120,0,0,0,0,0,3,0,0,57,0,0,0,0,9,0,73,4
"Un",14,7,19,36,90,0,11,5,0,1,20,0,2,0,3,12,21,45,25,0,0,6,0,0,3,10,0,11,63,23
"X",1,2,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,2,2,0,0,0,1,1,0,0,0,0,0,249
