"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",45.962745098,139.607142857,130.093650794,281.184715822,211.31025641,4.3,3.5753968254,460.016666667,223.2,127.466666667,130.647777778,4.8625,8.14164222874,3.16666666667,44.2722222222,66.1016260163,274.838095238,4.46666666667,3.86025641026,5.78888888889,7.20333333333,2.50095238095,13.2642857143,378.783333333,91.25,20.4666666667,2.75,289.416666667,6.30952380952,324.0,1.0,4.41111111111,2.45376344086,4.68095238095,2.53333333333,1.05,4.83333333333,3.5,13.493968254
"2",196.155842741,2.16666666667,3.0,52.1074780059,190.437179487,275.567340067,378.689814815,6.33703703704,625.24537037,1.49074074074,12.2,443.004166667,3.18239383078,13.2740740741,89.1898148148,7.23272357724,152.683333333,0.2,2.03240740741,2.7,0.783333333333,2.11574074074,3.31216931217,1.93181818182,57.7083333333,1.44444444444,6.45,1.625,1.35119047619,0.62037037037,13.7,2.025,1.29838709677,32.9166666667,17.4962962963,3.53703703704,1.39285714286,164.857142857,6.64336219336
"3",97.2356601732,76.0095238095,100.221925134,86.7491446725,7.02019230769,4.02873376623,131.537301587,6.94545454545,5.65,5.60833333333,21.0069444444,2.39583333333,177.434750733,3.08333333333,3.16666666667,2.71422764228,3.97619047619,3.2335978836,2.32234432234,386.011111111,3.08333333333,1.62878787879,1.49783549784,2.09848484848,2.11666666667,287.966666667,2.49545454545,0,150.428571429,3.66666666667,3.0,3.01111111111,3.53172043011,48.5333333333,97.753968254,0.766666666667,0.25,1.0,9.08585858586
"4",261.245773692,242.45,1.96212121212,2.69134897361,293.337179487,5.53409090909,3.29166666667,3.01212121212,1.13333333333,2.03333333333,2.99833333333,5.19583333333,3.24286412512,3.67833333333,89.3111111111,1.125,3.3625,0.75,85.9519230769,5.84027777778,221.956666667,33.3687878788,38.4621212121,1.01515151515,92.4583333333,1.08596491228,2.52462121212,1.41666666667,0.779761904762,1.91666666667,106.166666667,2.475,147.573924731,2.33333333333,5.0,128.166666667,43.0,0,71.9323268398
"5",2.88492063492,2.69444444444,146.333333333,2.57930107527,0.726923076923,1.69444444444,2.33333333333,1.05,2.07777777778,3.5,2.20833333333,1.25,105.470967742,2.33333333333,69.6944444444,74.0426829268,19.8333333333,240.518434343,51.3333333333,2.65,107.566666667,0.2,0.293650793651,17.45,19.5277777778,0.233333333333,1.02777777778,2.15277777778,0.625,1.66666666667,0,144.327777778,0.537634408602,0.95,0.333333333333,0.383333333333,0,0.5,5.34444444444
"6",105.673611111,0.2,5.34761904762,1.71505376344,42.6891025641,406.917857143,2.31666666667,1.91666666667,5.36111111111,2.55,224.733333333,0.179166666667,2.04838709677,35.1333333333,0.361111111111,8.19105691057,0.910119047619,34.0,1.0,299.220833333,2.16666666667,2.0,36.0142857143,1.0,1.0,0.533333333333,1.79583333333,0.611111111111,0.2,0.0833333333333,0.333333333333,0.25,0.548387096774,0.05,0.166666666667,0.333333333333,0.5,0,8.18234126984
"7",3.56200396825,0.03125,12.912202381,0.719758064516,10.6770833333,1.075,0.597916666667,0.0729166666667,2.11111111111,52.34375,0.279583333333,0.129166666667,0.986803519062,1.58333333333,0.527777777778,1.43089430894,1.33928571429,0.90625,0.5625,2.63611111111,1.00577380952,134.04,70.8125,0.864583333333,42.3958333333,1.53333333333,2.83333333333,0.111111111111,0.517857142857,0.5,11.7,1.03125,14.8989247312,95.25,1.0625,0.833333333333,135.44047619,1.0,77.6246428571
"8",3.40476190476,121.75,2.58823456237,2.31912442396,3.75,2.75,0.547619047619,2.47619047619,5.91666666667,202.818181818,1.44444444444,1.5625,0.644665549504,187.706666667,94.1388888889,141.649390244,2.57142857143,126.361111111,0.333333333333,20.0833333333,1.0,1.29761904762,87.5714285714,2.75,1.25,0.166666666667,246.726190476,0.583333333333,1.14285714286,1.83333333333,0.7,0.611111111111,0.104838709677,1.31486042693,1.97619047619,0.166666666667,0.666666666667,0,8.44033935413
"Un",59.1290266106,3.74285714286,3.22612681436,13.3607526882,29.2125,11.7875,0.9,2.53333333333,21.8666666667,67.8484848485,2.49583333333,1.85833333333,0.601661779081,27.0733333333,2.61111111111,2.33739837398,14.7904761905,72.7491582492,0,16.0611111111,1.68333333333,0.1,1.07142857143,4.16666666667,3.6,20.1666666667,25.5,10.25,0.285714285714,0.6,4.83333333333,1.16666666667,9.76075268817,1.58333333333,0,2.5,0.35,1.57619047619,29.4293650794
"X",4.77777777778,1.58333333333,0.998768472906,1.79761904762,2.41666666667,0,2.54761904762,1.25,3.0,2.0,2.2,0,2.1,1.08333333333,1.75,1.75,2.41428571429,3.0,1.33333333333,1.68333333333,0.5,0.547619047619,1.0,0.5,2.33333333333,1.0,1.52777777778,0.833333333333,0.869047619048,0,0,1.75,0.5,0.898193760263,1.0,0,0,0,270.707006021
