"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",10.9030701754,410.843589744,5.41556776557,5.23495934959,308.49047619,5.125,22.9333333333,162.680735931,273.774175824,442.571428571,8.66129032258,5.0,1.68333333333,503.638888889,464.14010989,297.16025641,7.0,1.125,42.6485638115,400.0,0,2.53333333333,1.0,8.77380952381
"2",1115.81537176,64.9095238095,36.0705544456,4.0243902439,12.2984848485,670.96984127,109.756818182,3.67316017316,3.69696969697,4.12878787879,2.97849462366,6.01515151515,2.33333333333,1.94444444444,0.5,0.737179487179,777.066666667,3.75,2.49755371048,0.583333333333,14.4,1.41666666667,0,5.54361471861
"3",8.80256512493,10.4294871795,4.99115884116,3.6316518847,335.441622103,99.202020202,4.97348484848,350.369480519,12.3803030303,0.545454545455,3.40652492669,184.848484848,1.76666666667,3.16666666667,4.75,4.49816849817,6.46666666667,218.083333333,410.082102985,1.0,0.833333333333,110.245454545,0.909090909091,5.49242424242
"4",422.156403509,273.21025641,193.280719281,2.03225806452,4.51515151515,7.83333333333,3.07626262626,2.25324675325,1.44696969697,1.65656565657,422.86344086,2.380742913,129.95,2.61111111111,1.5,3.67051282051,2.05833333333,1.04166666667,266.52113282,1.22222222222,110.033333333,0.7,3.83141025641,63.6372044622
"5",3.83333333333,18.8333333333,1.40476190476,588.72601626,1.91666666667,1.43333333333,0.75,36.8333333333,2.16666666667,2.58333333333,356.734115347,2.41666666667,0.0833333333333,0.5,1.5,1.99358974359,1.3,2.0,2.19047619048,18.1666666667,0,1.33333333333,0.708333333333,3.65833333333
"6",12.75,4.73333333333,344.797619048,0.524390243902,29.0611111111,1.0,139.594444444,3.0,308.466666667,1.0,2.89516129032,3.02777777778,0.5,1.16666666667,0.571428571429,348.54029304,41.225,2.375,3.67777777778,1.0,0.333333333333,1.53333333333,0.333333333333,8.62698412698
"7",2.83333333333,240.94047619,193.459615385,1.26422764228,1.08333333333,3.5,2.73333333333,2.76406926407,0.5,0.5,0.402329749104,2.83333333333,137.866666667,0.111111111111,11.5714285714,0.75,11.125,0.625,2.55555555556,1.33333333333,0.7,0.2,2.41666666667,75.4226190476
"8",3.20666666667,2.80769230769,108.253546454,0.724390243902,1.75,1.83333333333,379.208333333,1.0303030303,2.0641025641,128.965811966,79.814516129,405.383838384,1.0,1.52136752137,1.86062271062,2.66666666667,6.0,0.115384615385,3.01587301587,3.02777777778,0.738461538462,156.371794872,0.909090909091,8.33968253968
"Un",42.5911904762,23.0166666667,19.0009157509,2.45406504065,2.89971988796,1.76666666667,36.7833333333,1.47662337662,8.28333333333,21.0,74.22771261,69.6717171717,0.6,1.86666666667,1.53571428571,2.33333333333,29.625,0.125,67.5863678805,3.7,4.5,53.8,0,29.3579365079
"X",1.93939393939,3.7,1.68095238095,3.45075757576,5.61666666667,1.35,1.20833333333,2.83571428571,3.25,1.5,3.91612554113,2.0,2.05,0.333333333333,0.292857142857,1.66666666667,2.0,3.83333333333,4.55681818182,0.5,0,1.5,3.85714285714,275.614285714
