"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",19.3448773449,815.856430413,6.15873015873,36.4257925725,53.1996928419,110.145634921,224.487933972,370.893578855,209.670501374,73.284672619,213.497048611,433.091145833,63.1739983974,318.922222222,2.64285714286,4.4359375,101.55639881,107.997223829,221.166666667,0,7.95238095238
"2",528.032251082,5.74512553419,410.477777778,206.7109375,135.2078125,10.733974359,7.62817613691,38.6313613977,56.5732181013,225.457932692,797.229138743,4.14114583333,30.6058360043,8.84722222222,4.27777777778,36.7359375,326.302430556,4.90749601276,2.0,0,6.92072649573
"3",83.7175324675,6.58239370896,43.5833333333,68.0922438063,208.009554398,3.17147435897,6.94291713302,168.763681314,60.4756059912,119.533249351,50.8816639957,6.44001970721,315.802804151,1.79761904762,263.661111111,49.9662405303,105.914974647,192.961066127,2.58333333333,0,5.90617265617
"4",99.9246753247,162.006648733,24.9583333333,417.230725145,38.6538849461,2.53258547009,466.839155097,13.3569711538,300.979674145,13.2568744912,5.55388621795,3.5601000817,5.84641903236,64.3170634921,3.33333333333,233.402604167,29.0780409874,16.9744680124,1.75,2.5,61.1739477842
"5",1.25757575758,182.479166667,160.333333333,2.51930501931,311.450771605,32.4375,114.692208876,137.452939337,0.508928571429,2.00308641975,2.46666666667,1.34117647059,0.854166666667,0.5,3.05952380952,0.75,2.6265628724,1.00836251997,90.145021645,0.333333333333,3.42941176471
"6",2.0670995671,3.46428571429,3.25,208.733333333,76.1761904762,153.25,155.55952381,2.08849280801,157.06990232,0.944444444444,85.3761904762,3.69444444444,57.065018315,63.75,2.58333333333,80.2833333333,110.866666667,30.7622807018,65.5,0.428571428571,7.09523809524
"7",232.773809524,2.76014957265,126.083333333,1.45952380952,7.04188034188,2.59027777778,13.6057692308,42.9308943089,20.6702533578,8.61111111111,12.3166666667,0.0833333333333,2.01549145299,93.1722222222,1.16666666667,49.85,4.0,1.23333333333,0.75,0,55.0158730159
"8",0.396464646465,90.999599359,2.0,1.83848133848,104.718376068,416.658333333,1.7919770801,11.5243902439,74.96996337,175.383838384,8.58333333333,58.0833333333,18.3183760684,22.9444444444,182.611111111,6.7,17.0334620335,20.6078371605,77.8489583333,0,7.15203373016
"Un",5.65396825397,8.41955128205,9.90277777778,30.7729086229,9.22991452991,33.8125,99.0001298292,7.78739837398,8.21066849817,71.1717171717,29.2611111111,14.7,18.1103883861,3.16666666667,59.4,17.1666666667,2.99176319176,0.904436767595,38.2954545455,0,26.2412698413
"X",6.28571428571,1.84895833333,1.16666666667,1.83333333333,4.0,1.5,3.57945075758,4.41666666667,3.69444444444,1.61111111111,4.16666666667,1.56944444444,4.95,0.611111111111,1.7,0.833333333333,0.266666666667,5.67631578947,3.015625,1.90909090909,274.127430556
