"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",67,514,383,225,268,5,23,23,17,30,6,24,19,21,21,13,683,507,15,191,2,33
"2",44,23,20,9,10,35,33,10,24,2,33,785,909,66,14,311,13,18,682,1,5,34
"3",44,21,342,16,17,7,22,11,239,2,241,79,26,37,8,9,14,55,18,5,214,22
"4",758,26,23,12,62,5,293,54,37,6,10,30,267,251,8,9,12,37,11,0,3,95
"5",1027,251,10,31,3,3,5,5,11,5,3,11,12,28,354,4,11,10,6,0,0,14
"6",411,10,35,4,5,176,18,5,303,57,4,5,9,22,2,5,4,3,6,2,1,26
"7",8,73,8,3,4,3,198,110,9,3,0,9,12,248,5,6,14,1,11,0,0,43
"8",38,14,14,322,4,3,204,236,53,106,4,14,50,77,2,109,13,9,8,2,1,40
"Un",48,36,14,131,2,2,10,10,16,37,3,8,46,24,5,7,6,20,34,2,18,35
"X",19,9,21,3,2,0,9,2,9,11,1,11,6,8,5,9,7,1,7,0,1,272
