"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","X"
"1",6,133,563,13,248,1,597,0,5,1,4,1,371,311,7,27,0,331,4,1,0,269,0,1,158,67,3
"2",718,19,3,1,29,0,0,326,11,1,717,330,1,1,0,0,1,0,0,301,0,0,1,99,48,0,2
"3",2,10,2,3,443,1,40,0,317,0,1,0,0,2,1,196,269,0,0,88,0,0,200,1,0,0,3
"4",362,445,2,1,5,0,2,1,1,124,2,109,0,240,317,0,0,2,1,3,114,0,1,2,0,0,56
"5",0,19,19,0,0,386,0,0,0,0,0,0,17,0,221,0,100,0,0,0,93,3,3,0,3,69,1
"6",0,294,1,59,29,0,7,0,2,0,37,0,0,1,0,0,0,0,312,0,1,0,0,396,1,0,3
"7",215,156,53,0,0,1,1,1,0,125,9,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,68
"8",35,0,520,364,0,0,1,0,1,0,3,1,118,0,0,0,0,0,56,2,71,0,0,0,0,10,3
"Un",35,13,101,34,8,0,1,0,0,0,24,12,2,45,2,0,18,1,6,0,60,8,0,3,13,0,22
"X",2,5,0,0,1,1,1,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,256
