"1","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","2A","2B","Y","X"
"1",24,17,13,427,13,33,170,294,456,25,11,3,535,504,320,15,3,98,416,0,24,442,8,0,19
"2",1228,45,10,26,747,128,10,12,15,13,18,5,9,3,6,861,7,58,5,20,4,6,81,1,20
"3",40,16,7,348,117,20,394,23,6,16,180,7,8,13,18,19,231,671,3,2,120,10,20,6,13
"4",445,204,5,10,26,12,16,9,12,533,6,128,11,3,33,4,4,425,5,115,2,4,274,9,75
"5",8,4,609,4,6,4,34,4,6,364,7,2,1,2,21,6,4,27,23,0,4,18,3,2,12
"6",19,362,4,31,0,151,6,381,5,16,4,2,3,6,381,39,6,14,2,2,4,4,4,1,19
"7",9,206,4,7,4,9,12,1,3,8,9,106,1,15,3,15,3,24,3,2,0,62,211,12,66
"8",5,119,2,7,3,425,5,11,145,82,437,2,7,9,14,7,2,9,6,3,149,9,5,4,39
"Un",51,23,6,34,4,44,7,12,24,69,101,2,5,3,7,40,1,556,6,5,54,24,10,2,32
"X",5,4,15,10,3,12,6,4,4,10,4,8,2,8,2,5,8,32,1,0,4,4,2,13,281
