"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",43,33,50,23,30,385,1100,188,508,453,27,11,676,19,293,10,7,8,98,318,27
"2",1215,54,140,767,14,35,16,14,18,8,24,81,9,7,18,858,5,5,54,3,27
"3",48,30,24,122,16,354,26,363,11,207,206,9,32,9,22,21,4,243,549,13,27
"4",455,226,129,29,11,17,12,29,12,6,11,218,75,509,12,7,144,4,414,16,99
"5",53,8,4,4,588,14,9,57,8,24,8,4,22,458,5,5,0,4,25,5,10
"6",18,322,169,4,4,36,8,6,4,11,50,4,4,11,387,48,3,7,17,377,21
"7",8,214,15,11,9,10,16,7,4,8,16,219,63,4,4,12,138,2,14,4,77
"8",14,126,476,13,10,11,19,8,144,171,461,5,10,88,8,8,3,0,11,7,53
"Un",51,32,50,9,16,31,14,15,26,78,94,10,24,80,12,44,2,2,399,5,41
"X",10,7,11,4,14,14,16,13,7,7,11,1,8,11,8,5,5,11,24,4,338
