"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",3,3,20,0,3,283,889,154,414,381,1,3,380,3,243,3,0,1,34,280,4
"2",1027,34,104,624,1,7,0,2,2,1,1,54,1,0,2,729,1,1,2,0,2
"3",0,1,1,91,2,304,0,306,2,103,168,0,7,2,9,2,0,205,364,1,2
"4",389,172,104,6,2,0,2,1,1,0,1,193,61,382,2,1,127,0,229,1,54
"5",44,0,0,1,508,0,1,34,2,16,1,0,18,309,0,0,0,0,0,0,3
"6",8,283,126,0,1,26,0,1,0,0,37,0,2,1,285,41,0,0,0,304,6
"7",2,175,3,4,0,0,8,0,0,0,1,175,52,0,0,7,128,0,0,0,60
"8",0,100,359,3,0,3,2,0,117,142,380,0,1,74,0,4,0,0,1,0,2
"Un",28,15,39,1,0,0,2,0,19,44,58,5,14,68,6,26,0,0,56,1,20
"X",1,1,0,1,0,2,0,0,0,0,0,0,1,0,3,2,0,1,1,1,244
