"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",7,509,5,363,2,5,522,4,401,6,6,4,110,4,4,1,4,4,224,0,6
"2",65,42,2,5,173,137,19,126,3,10,64,69,2,69,1,5,106,6,3,0,3
"3",54,1,44,65,7,3,2,3,5,1,142,2,61,5,125,7,9,190,2,0,4
"4",2,256,11,2,2,6,5,14,3,289,1,2,1,0,209,1,0,3,4,72,11
"5",1,0,2,0,1,0,71,304,0,2,1,0,0,3,1,1,0,0,1,0,0
"6",0,0,0,2,40,0,122,1,0,0,0,1,2,1,0,47,0,0,0,0,1
"7",294,181,3,4,33,167,2,3,6,2,4,27,3,4,3,2,2,14,3,0,2
"8",10,3,1,2,7,250,2,10,2,3,1,1,1,134,40,9,4,1,0,0,3
"9",30,4,3,3,6,237,4,2,205,4,2,3,7,68,3,1,28,175,2,0,3
"10",0,3,2,0,43,100,2,3,13,1,28,13,24,3,3,2,0,4,1,0,1
"11",10,0,0,2,1,1,0,2,6,1,93,0,143,3,85,1,13,5,0,0,2
"12",51,3,8,42,5,1,5,2,64,230,5,1,139,9,1,2,422,0,4,0,5
"13",206,4,507,460,69,9,0,4,5,4,5,7,6,4,3,2,4,8,4,0,6
"14",2,3,140,6,2,3,7,4,123,14,3,0,4,26,1,373,12,2,1,0,7
"15",3,1,166,2,232,22,2,45,2,4,0,1,0,5,1,1,2,3,0,2,1
"16",259,80,2,2,3,1,1,39,1,1,1,3,17,1,2,4,0,16,0,0,10
"17",2,190,4,1,2,5,35,1,124,1,4,92,0,208,1,0,1,4,1,0,4
"18",3,1,1,1,3,15,34,1,6,82,0,1,0,60,4,0,0,1,405,0,2
"19",0,2,18,2,1,0,1,1,0,0,880,1,0,0,0,1,2,1,1,1,1
"20",0,0,0,0,0,1,0,0,0,2,0,192,1,1,0,0,0,1,0,0,0
"21",0,0,1,0,103,1,0,1,0,3,22,0,0,0,0,26,1,0,0,0,6
"X",7,7,4,7,8,8,9,7,5,8,9,8,6,7,10,2,1,5,2,166,636
