"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",438,1,185,2,213,3,1,207,2,3,0,0,1,0,0,1,54,0,0,0,0
"2",3,0,41,117,0,190,1,0,59,1,1,4,0,161,59,93,2,1,0,8,0
"3",2,37,1,0,101,1,116,2,1,121,6,3,1,1,0,1,53,157,0,0,2
"4",0,0,231,0,1,1,346,0,0,1,0,0,1,0,0,0,0,0,8,1,34
"5",66,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,201,0,0
"6",112,0,0,0,0,0,0,0,0,42,0,37,0,1,0,0,0,0,0,0,0
"7",2,1,155,164,1,24,1,1,224,1,0,1,35,1,1,1,2,13,1,0,0
"8",1,1,1,202,0,0,33,0,10,0,4,4,0,0,122,9,1,0,0,1,1
"9",1,3,0,87,0,1,0,170,25,0,0,0,22,1,21,41,3,155,0,1,1
"10",1,0,2,125,0,12,0,10,0,0,0,0,0,26,0,0,22,0,1,0,0
"11",4,195,0,0,0,0,2,1,17,5,0,0,0,0,0,0,1,2,0,0,0
"12",141,1,1,0,39,0,0,49,137,2,0,0,1,0,5,0,80,0,0,270,0
"13",2,397,1,44,387,5,1,0,2,1,1,0,174,21,0,0,1,0,1,0,2
"14",4,120,0,1,1,0,2,96,10,1,293,2,0,2,11,10,0,0,0,11,1
"15",1,144,0,17,0,0,0,1,1,2,0,1,0,143,0,9,0,0,27,0,1
"16",0,1,0,0,1,0,0,1,0,2,0,0,230,1,0,0,107,0,29,0,1
"17",31,1,152,0,2,81,1,112,0,0,0,0,1,2,154,0,0,1,0,0,0
"18",252,0,0,6,0,0,1,0,0,0,0,0,1,0,28,22,0,0,0,76,0
"19",1,0,1,0,2,0,0,0,0,699,0,0,0,0,0,1,0,0,0,0,1
"20",0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,21,84,0,24,0,0,0,0,0,2,0
"X",4,0,13,1,3,5,2,0,0,0,0,1,0,0,0,1,0,1,1,1,379
