"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",0,1,2,0,74,177,122,0,0,1,0,1,0,0,183,0,159,0,0,1,0,1,147,0,65,0,0,0,0,1,167,0,176,137,0,0,0,99,3
"2",136,201,7,0,1,0,1,1,1,0,242,1,0,0,1,1,14,1,85,1,0,1,0,0,147,0,0,0,0,0,0,0,0,0,0,134,176,0,2
"3",0,1,1,0,1,0,0,0,201,516,2,0,0,1,96,0,313,0,1,0,0,1,1,0,0,0,403,1,1,0,0,1,0,0,0,0,0,0,0
"4",1,0,0,0,1,0,0,0,1,0,1,0,0,243,0,169,0,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"5",0,61,66,115,0,0,0,5,1,1,148,0,0,29,0,6,2,0,0,431,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"6",0,0,137,0,0,0,0,0,0,0,0,0,115,0,7,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,157,0,0,0,0,0,0,0
"7",1,1,36,9,0,0,0,306,0,1,9,0,0,0,37,0,0,0,0,0,0,1,0,0,0,1,0,0,2,266,0,0,0,1,0,0,0,0,0
"8",188,0,1,0,0,0,0,0,0,0,1,143,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,0,0,0,0,0,0,1,0,0,0,14,179,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,146,0,0,0,0,0,1,1,0,0,0
"10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,1,0,201,0,0,0,701,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,49,0,0,105,0,253,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81,0
"13",1,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,11,435,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"14",510,79,0,0,221,1,0,0,0,1,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,1,166,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,274,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"16",0,74,1,116,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
"17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,40,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",1,0,130,0,0,0,0,161,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,61,0,0,1,0,0,0,0,0,1
"19",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,331,0,0,83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,1,0,0,0,0,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,1,1,0,0
"21",0,0,0,0,73,1,0,0,0,0,0,0,0,0,0,0,0,279,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"22",1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,263,0,0,0,0,0,0,0,0,0,0,0
"23",89,0,0,1,0,0,131,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",1,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,193,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"X",1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,552
