"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",21,291,10,10,711,108,16,11,14,12,4,4,9,7,12,163,8,13,363,12,4,4,3,5,6,208,3,8,2,10,2,43
"2",10,353,5,4,4,143,3,9,3,2,5,0,2,2,17,3,0,340,1,2,3,1,286,1,193,4,3,1,0,0,0,8
"3",4,5,4,4,8,675,4,3,5,3,3,0,4,6,581,1,2,2,2,4,3,2,6,5,236,0,1,333,2,2,2,1
"4",38,47,16,722,17,24,30,20,27,16,7,4,21,17,24,28,15,21,12,15,5,9,3,6,11,5,1,18,6,13,4,72
"5",1,2,7,4,5,0,280,2,0,4,6,1,3,444,2,1,0,0,0,2,159,1,2,5,1,3,1,0,7,0,8,0
"6",5,69,436,1,0,1,0,0,1,1,3,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,11
"7",612,18,5,9,6,7,12,6,9,5,1,1,6,67,9,9,6,7,3,11,3,6,0,220,3,1,1,5,2,3,1,22
"8",6,4,4,0,4,6,3,3,5,268,2,1,3,4,2,7,2,6,4,5,3,3,3,2,1,2,1,3,0,4,120,11
"9",11,19,8,6,8,6,10,7,365,7,2,1,7,6,9,8,5,6,3,20,2,5,0,2,3,1,0,5,2,4,1,24
"10",41,47,14,18,18,21,31,19,27,16,6,5,19,17,23,28,302,21,14,15,5,9,3,5,10,5,1,18,6,13,4,73
"11",1,2,2,3,1,2,2,2,0,2,1034,3,0,1,3,0,0,2,0,0,0,1,0,1,1,1,0,1,0,0,0,0
"12",0,167,0,2,222,3,0,1,0,1,2,1,0,2,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,143,0,2
"13",3,3,2,1,0,2,0,2,0,1,4,0,0,2,1,0,0,1,0,2,1,505,0,1,3,0,0,0,293,0,0,2
"14",5,2,344,2,1,3,2,0,0,690,2,1,2,2,1,0,1,1,1,2,2,7,2,1,1,1,0,0,0,0,0,0
"15",1,0,4,1,4,2,588,2,0,0,0,191,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"16",1,0,0,1,1,0,0,0,0,1,1,0,1,63,0,0,0,0,1,0,194,0,0,0,1,1,0,0,0,0,0,2
"17",5,115,2,2,1,2,5,379,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,2,1,1
"18",273,1,2,3,1,2,1,0,0,19,0,0,1,1,0,0,0,2,1,2,1,0,1,116,1,0,0,0,0,0,0,5
"19",2,0,0,9,1,0,0,1,1,0,1,0,1,0,0,450,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2
"20",0,3,2,1,2,4,0,0,2,3,0,0,1,2,1,2,0,0,0,616,0,1,1,0,1,1,0,1,0,0,0,3
"21",0,5,0,0,0,0,229,3,0,0,0,353,0,1,0,2,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2
"22",335,1,1,2,1,0,0,0,1,2,0,4,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"23",8,3,4,2,5,7,6,259,8,6,2,4,4,2,8,14,6,11,8,4,4,0,6,4,3,4,3,4,0,12,2,20
"24",0,0,1,0,2,0,1,2,1,1,1,0,614,1,3,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
"25",246,1,0,0,1,1,0,0,0,0,1,10,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"26",1,3,1,2,0,0,1,0,0,1,0,1,1,0,2,10,0,0,1,0,0,0,0,1,0,0,177,1,0,0,0,1
"X",19,6,9,2,4,13,11,10,9,16,5,3,4,7,6,15,7,10,9,4,5,5,7,5,2,5,2,4,1,9,3,762
