"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",799,455,147,1,0,3,2,3,1,1,1,62,1,0,0,0,0,0,2,0,3
"2",193,0,1,1,19,1,6,85,0,0,1,374,71,0,359,0,0,1,1,0,1
"3",0,1,0,1,0,0,0,0,2,190,636,0,473,1,199,1,0,0,1,0,0
"4",1,1,456,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"5",35,0,0,0,0,370,0,0,0,0,0,0,2,0,0,2,0,0,400,0,0
"6",35,0,0,0,382,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,1,0,0,51,584,1,0,0,1,0,1,0,0,0,1,0,1,1,0
"8",0,0,1,322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,1,0,15,0,0,1,321,0,1,0,0,2,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,246,0,0,0,0
"11",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,862,0,0,0,0,1
"12",473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"13",0,0,0,0,1,0,0,0,124,418,0,0,0,0,0,0,0,0,1,1,0
"14",0,1,2,2,0,1,0,0,0,0,3,0,0,0,0,1,0,0,460,294,0
"15",2,0,0,0,0,0,0,0,0,0,1,0,0,518,0,0,0,0,1,0,0
"16",1,0,0,1,0,232,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17",0,0,0,1,99,1,0,0,0,118,170,0,2,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,335,0,0,0,0,0,2,0,1,1,0,0,0,1,0
"19",0,362,6,0,0,2,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
"20",1,0,1,436,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,212,0,0,1
"24",1,0,165,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,341,0
"25",50,1,1,0,0,0,0,0,176,0,0,0,1,2,0,0,0,0,0,0,0
"26",0,11,0,0,41,0,0,113,0,0,0,0,0,0,0,0,0,0,1,0,0
"X",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,519
