"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",250,3,640,380,45,10,5,7,104,102,5,7,10,21,4,464,33,4,3,2,16
"2",327,197,9,586,10,7,10,51,8,7,9,16,89,92,6,4,5,20,75,0,36
"3",72,275,4,7,61,482,14,13,5,344,67,82,10,5,433,8,111,4,5,72,13
"4",3,3,1,1,120,371,3,1,13,2,41,63,32,2,0,0,4,1,4,0,3
"5",10,3,4,23,4,8,7,210,88,206,200,3,98,4,0,19,134,166,1,0,0
"6",2,1,93,1,399,22,4,6,1,10,3,1,0,4,0,1,3,1,4,2,3
"7",2,198,3,4,3,5,4,5,159,2,1,214,42,189,1,0,1,23,4,0,12
"8",2,2,3,44,1,1,2,0,38,250,1,0,3,0,4,0,77,1,2,2,2
"9",69,4,49,64,2,1,3,1,5,0,1,1,3,1,202,5,2,2,2,0,1
"10",7,13,25,0,42,0,3,50,2,1,3,0,1,177,0,1,0,0,0,0,1
"11",6,4,17,1,7,3,1,2,2,17,1173,3,0,4,2,1,2,2,2,1,0
"12",367,32,0,686,422,3,0,0,0,3,3,47,0,0,0,0,1,1,1,0,0
"13",18,587,18,3,2,3,3,13,2,0,3,1,157,1,2,6,1,22,3,0,1
"14",1,4,9,4,4,5,1559,350,4,3,5,1,12,0,1,3,84,0,7,0,0
"15",2,237,3,0,1,2,367,2,201,2,2,0,4,1,1,0,0,1,63,10,0
"16",1,0,1,2,1,1,3,0,0,1,27,0,147,1,85,1,8,0,0,0,1
"17",0,1,76,2,244,4,1,36,2,28,51,1,2,0,1,51,2,1,2,0,1
"18",2,19,1,1,1,3,141,0,80,1,0,212,3,5,1,0,4,0,1,0,2
"19",3,0,2,0,0,173,0,1,247,0,6,2,0,71,4,0,1,3,0,0,3
"20",24,2,1,3,1,1,3,1,23,2,2,0,489,3,2,0,412,0,1,0,6
"21",2,4,0,72,58,1,191,6,226,0,1,7,1,1,2,5,1,0,290,0,1
"22",3,17,1,1,2,2,77,0,0,6,1,1,0,1,0,0,0,0,249,0,0
"23",36,6,4,2,4,1,0,0,0,1,1,1,2,0,1,0,28,187,1,0,3
"24",0,1,1,3,240,1,178,2,1,0,11,3,0,0,2,86,119,1,0,0,0
"25",3,9,0,1,0,18,0,36,3,81,1,1,16,100,0,0,1,0,1,0,0
"26",0,0,1,1,2,0,0,182,2,0,0,0,2,14,1,1,3,0,1,0,5
"X",13,12,3,4,13,11,8,5,7,11,12,19,6,6,8,5,6,11,3,235,771
