"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",177,1,546,269,24,6,0,3,76,35,1,0,2,11,0,355,29,0,0,0,1
"2",279,176,0,450,2,0,7,27,0,0,1,14,67,83,0,1,0,14,72,0,1
"3",58,257,0,1,48,356,1,7,1,289,55,75,0,0,343,4,94,0,0,0,0
"4",1,0,0,0,105,286,0,1,12,0,39,59,22,0,0,0,0,0,0,0,0
"5",8,0,0,0,0,0,3,178,60,120,159,0,91,1,0,3,90,155,0,0,0
"6",0,0,85,0,319,17,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,138,0,1,0,0,0,0,137,0,0,200,38,144,0,0,1,17,0,0,1
"8",0,0,0,42,0,0,0,0,36,210,0,0,0,0,0,0,61,0,0,0,0
"9",62,1,38,58,0,0,0,0,3,0,0,0,2,0,184,5,1,0,0,0,0
"10",7,0,22,0,39,0,0,48,0,0,0,0,0,151,0,0,0,0,0,0,0
"11",1,0,0,0,0,0,0,1,0,0,949,0,0,0,0,0,0,0,0,0,0
"12",336,0,0,155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"13",0,531,1,0,0,0,0,5,0,0,0,0,19,0,0,0,0,19,1,0,0
"14",0,0,0,1,1,1,485,310,0,1,1,0,1,0,1,0,3,0,0,0,0
"15",0,150,0,0,0,0,241,0,189,0,0,0,0,0,0,0,0,0,33,0,0
"16",0,0,0,0,0,0,0,0,0,0,24,0,136,0,78,0,7,0,0,0,0
"17",0,0,71,0,212,0,0,33,0,22,45,0,0,0,0,44,0,0,0,0,0
"18",0,18,0,0,0,0,118,0,67,0,0,168,0,3,0,0,1,0,0,0,0
"19",0,0,1,0,0,133,0,0,226,0,5,0,0,66,1,0,0,0,0,0,0
"20",20,0,0,0,0,0,1,0,15,1,0,0,135,3,0,0,295,0,0,0,0
"21",0,0,0,0,0,0,135,0,92,0,0,0,0,0,0,0,0,0,221,0,0
"22",0,1,0,0,0,0,72,0,0,5,1,0,0,0,0,0,0,0,226,0,0
"23",22,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,26,171,0,0,1
"24",0,1,0,0,196,0,166,0,0,0,7,0,0,0,0,83,111,0,0,0,0
"25",2,3,0,0,0,15,0,33,1,79,0,0,16,88,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,160,0,0,0,0,0,13,0,0,0,0,0,0,0
"X",2,0,1,0,2,0,2,0,0,0,1,0,0,1,1,0,0,1,1,0,503
