"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",3,2,0,2,0,0,0,0,0,0,0,0,754,525,0,1,1,1,0,0,0,1
"2",326,75,0,1,1,0,428,1,2,0,0,1,139,0,6,2,7,0,1,0,1,2
"3",3,463,3,390,1,0,0,251,1,2,2,1,4,0,1,0,0,0,0,0,0,2
"4",0,1,0,0,0,0,184,0,0,190,0,0,44,0,0,0,1,0,1,0,0,1
"5",1,1,291,4,0,0,2,0,2,0,67,0,3,2,0,0,1,1,0,0,0,2
"6",0,109,0,0,0,0,0,0,2,0,0,0,1,0,239,1,2,0,0,0,0,1
"7",0,3,14,0,0,0,2,0,0,0,7,1,0,0,0,1,434,0,1,144,0,0
"8",0,0,1,0,0,0,1,0,0,0,0,301,0,0,0,0,0,0,0,0,0,1
"9",1,1,256,0,0,0,1,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0
"10",1,0,0,0,0,0,1,141,1,0,0,0,0,0,0,1,1,0,0,0,1,0
"11",0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,700,0,0,0
"12",1,0,0,0,0,0,0,0,0,0,0,1,106,0,0,227,0,0,1,0,0,1
"13",1,2,0,230,0,0,1,1,1,0,0,1,0,1,0,94,0,0,0,0,0,1
"14",3,1,0,0,271,0,2,0,0,2,0,2,0,1,3,0,0,0,0,0,0,1
"15",523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"16",0,0,29,0,0,1,0,0,1,0,154,0,0,0,0,0,0,0,0,0,0,0
"17",0,2,0,0,0,0,0,0,1,0,0,0,0,1,89,1,0,0,0,0,129,0
"18",1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,94,0,0,20,0,2
"19",0,0,0,0,0,0,0,0,309,8,0,0,0,33,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,1,0,1,0,1,402,0,0,0,0,1,0,0,0,0,0
"21",180,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
"22",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,243,0,0,0,0
"23",2,0,0,0,0,0,0,0,203,0,0,0,1,0,0,0,0,0,0,0,0,0
"24",2,1,2,1,0,192,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1
"25",3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46,0,134,0,0,0,0
"26",0,73,0,0,0,0,0,0,0,0,0,1,0,10,5,0,0,0,0,0,0,0
"X",2,2,1,0,0,0,0,1,0,0,0,1,2,6,1,0,0,2,0,0,1,410
