"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",917,531,203,13,8,4,6,10,2,8,9,84,6,4,3,2,2,2,4,2,19
"2",240,10,13,8,31,12,11,99,3,5,10,425,87,7,426,8,2,4,3,2,6
"3",19,12,12,12,9,13,22,10,9,217,718,6,589,9,212,6,2,1,5,7,6
"4",6,1,610,3,1,4,4,2,1,1,2,4,1,2,2,4,1,1,2,1,2
"5",51,4,5,6,10,416,3,1,0,3,5,1,6,1,2,12,1,1,492,3,6
"6",41,0,5,3,453,2,3,3,5,0,1,2,1,0,0,2,0,0,2,1,6
"7",9,1,4,9,3,61,692,4,4,3,2,5,1,2,2,1,3,0,3,2,7
"8",7,4,3,368,4,3,3,3,5,4,2,2,1,0,0,1,0,1,0,2,0
"9",7,2,1,19,4,2,1,344,2,4,2,1,2,0,0,4,2,1,1,0,3
"10",2,0,0,2,0,1,5,0,1,0,1,0,1,1,0,3,282,0,2,0,2
"11",5,1,2,3,1,2,3,3,1,4,4,4,1,5,5,1031,1,0,3,2,3
"12",620,2,2,1,2,3,0,0,3,1,3,1,0,1,0,1,0,2,0,0,2
"13",4,2,3,3,1,2,2,2,203,496,5,2,5,1,5,2,1,0,0,1,2
"14",3,12,5,3,5,6,3,4,2,5,3,2,1,2,2,5,2,1,729,335,1
"15",4,1,2,3,3,5,0,1,1,1,1,3,1,566,0,0,3,1,3,3,3
"16",3,2,2,2,1,256,1,3,2,4,2,0,3,1,4,1,0,1,3,1,1
"17",7,4,2,1,112,3,2,1,3,153,211,1,2,1,0,0,1,0,0,0,2
"18",4,0,5,1,2,0,362,1,1,0,4,2,1,2,4,1,3,1,18,3,4
"19",1,388,10,0,2,2,2,3,0,1,40,1,0,3,1,1,1,0,0,2,4
"20",7,1,1,568,4,1,0,2,0,2,4,3,3,1,2,0,0,2,2,1,5
"21",19,2,1,2,3,4,1,2,2,4,2,1,2,473,2,0,0,1,0,0,3
"22",5,2,3,0,1,0,0,1,322,1,1,2,2,2,0,0,1,1,1,0,3
"23",3,0,1,1,3,3,1,2,0,0,1,0,2,1,1,1,0,238,1,0,1
"24",4,2,205,5,4,4,1,4,1,2,2,0,5,3,3,4,0,0,2,347,0
"25",56,2,0,0,3,1,2,3,189,2,1,0,2,5,0,1,1,0,0,0,0
"26",1,12,1,1,48,0,1,133,1,2,0,0,2,1,0,0,0,0,0,1,1
"X",10,6,1,7,10,16,13,6,7,11,12,1,4,5,6,7,2,3,39,2,648
