"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",9,5,5,620,7,318,12,9,11,2,3,1,748,9,139,1,1,5,0,8
"2",441,7,43,4,5,219,4,7,5,82,0,5,9,131,522,2,2,6,0,6
"3",228,9,570,12,950,6,5,5,11,10,11,1,6,5,7,1,6,3,0,4
"4",4,1,4,0,0,3,3,0,244,0,0,2,1,0,7,2,0,394,0,1
"5",6,895,12,2,1,5,1,5,1,0,1,2,4,4,2,63,2,1,0,3
"6",5,3,3,1,9,1,2,523,3,0,1,0,0,5,1,0,1,0,0,7
"7",388,80,2,0,1,3,417,0,3,1,2,2,3,4,2,4,4,4,0,5
"8",424,0,0,2,2,1,2,2,1,0,1,1,0,2,3,1,5,0,0,0
"9",17,1,3,361,0,4,2,1,1,2,1,1,1,0,4,3,2,1,0,2
"10",3,6,0,0,1,2,3,3,0,0,410,2,1,0,2,0,1,0,0,4
"11",4,6,19,1,3,2,6,0,6,1,1,952,1,1,3,1,1,10,2,2
"12",4,4,1,22,1,148,0,1,214,144,0,3,4,1,0,1,1,3,0,2
"13",1,3,1,0,3,1,3,0,1,192,0,3,3,6,1,0,503,2,1,2
"14",10,3,2,3,0,782,7,11,3,6,0,2,4,13,0,5,5,3,0,1
"15",20,312,0,3,1,3,0,1,508,0,2,0,1,2,1,2,1,1,0,0
"16",3,14,2,2,0,2,0,1,0,0,0,2,4,0,2,242,0,2,0,8
"17",3,4,0,0,3,3,1,120,3,0,0,2,1,360,2,0,0,3,0,3
"18",83,2,0,1,2,3,312,0,2,0,0,1,0,1,2,0,0,1,0,3
"19",1,1,1,3,0,1,5,0,4,0,0,1,474,0,1,0,1,6,0,1
"20",1,0,3,5,1,4,641,1,0,1,0,0,0,0,8,0,1,1,0,1
"21",5,705,0,1,1,4,0,1,228,1,0,0,0,3,0,0,0,0,0,1
"22",1,6,2,6,2,9,0,2,2,0,1,1,0,326,0,0,1,3,0,1
"23",122,4,4,3,2,110,0,0,3,0,0,1,2,0,2,0,0,0,0,1
"24",2,1,522,3,2,5,0,3,1,9,1,1,0,2,0,2,1,0,0,0
"25",2,13,1,1,0,2,1,0,1,0,2,1,1,255,2,0,1,0,0,1
"26",2,2,1,0,2,1,0,1,1,0,1,0,15,2,115,2,65,0,0,1
"X",14,10,2,3,7,7,5,6,6,4,2,7,5,5,5,1,5,1,7,722
