"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",1,0,1,492,0,241,3,1,3,0,0,0,572,0,56,0,1,0,0,0
"2",269,0,29,0,2,180,0,1,0,64,0,1,1,107,412,1,0,0,0,2
"3",178,0,452,0,736,3,1,0,1,1,0,0,0,0,1,0,0,1,0,0
"4",0,0,0,0,0,0,1,0,166,0,0,1,0,0,1,1,0,321,0,0
"5",1,739,2,0,0,2,0,1,0,0,0,1,2,1,0,54,0,0,0,0
"6",1,1,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0
"7",303,55,0,0,0,0,278,0,0,0,1,0,0,0,0,2,0,0,0,0
"8",323,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"9",12,0,1,284,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0
"11",0,1,5,0,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0
"12",0,1,1,17,0,128,0,0,181,117,0,1,1,0,0,0,0,0,0,0
"13",1,0,1,0,0,0,0,0,0,114,0,0,1,2,0,0,383,0,1,0
"14",3,0,1,1,0,623,2,2,1,0,0,0,0,3,0,0,0,0,0,0
"15",1,206,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0
"16",0,11,0,0,0,1,0,0,0,0,0,1,0,0,0,196,0,0,0,0
"17",1,0,0,0,0,0,0,90,0,0,0,1,0,315,1,0,0,0,0,0
"18",70,0,0,0,0,1,249,0,1,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,4,0,1,0,0,0,379,0,0,0,0,5,0,0
"20",0,0,2,1,1,1,434,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,281,0,0,0,0,0,0,131,0,0,0,0,1,0,0,0,0,0,0
"22",0,2,1,3,0,3,0,0,0,0,1,0,0,270,0,0,0,0,0,0
"23",98,2,0,0,0,89,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"24",0,0,443,0,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0
"25",0,3,0,0,0,1,0,0,0,0,0,0,1,218,1,0,0,0,0,0
"26",0,0,0,0,1,0,0,0,0,0,0,0,11,0,91,0,48,0,0,0
"X",0,1,0,1,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,498
