"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",27,489,27,10,784,11,3,4,3,64,7,4,483,120,18,7,22,6,37,3,17
"3",10,131,6,150,2,4,9,331,12,7,278,4,4,8,40,57,2,3,3,3,8
"4",14,180,3,20,3,5,0,3,3,4,2,1,2,412,1,78,2,5,32,0,6
"5",46,279,3,4,2,2,4,2,24,169,1,4,1,5,5,3,57,212,0,1,7
"6",198,7,4,17,46,0,3,62,139,2,3,4,3,3,4,1,187,2,2,325,4
"7",38,22,3,494,16,70,2,12,6,5,0,268,3,47,1,2,24,0,2,0,7
"8",3,42,2,1,110,2,211,0,1,1,6,0,2,1,78,130,4,0,1,0,4
"9",74,1,257,3,332,4,4,4,3,4,0,7,0,0,0,2,75,1,2,0,2
"10",351,3,2,22,1,5,1,2,3,4,2,0,1,2,31,39,177,2,4,85,2
"11",698,15,113,4,4,4,3,280,2,1,4,2,3,3,11,2,0,0,1,2,0
"12",10,2,1,293,2,4,434,3,8,6,7,195,6,2,7,2,2,0,1,2,51
"13",3,17,3,1,2,1,1,0,7,1,1,40,0,2,129,44,0,3,0,0,1
"14",6,3,7,6,4,392,4,0,2,4,1,0,1,2,184,1,1,2,1,1,4
"15",129,1,178,2,2,22,3,225,3,2,0,1,2,0,5,0,5,0,2,3,3
"16",186,4,10,0,3,8,1,4,1,210,0,5,2,3,1,4,7,1,337,2,3
"17",3,16,4,4,4,5,5,1,3,1104,1,1,1,1,2,6,2,4,0,1,6
"18",0,3,4,5,3,0,0,0,32,3,1,0,22,2,0,0,0,187,0,1,2
"19",892,56,7,3,5,29,187,72,58,10,2,62,6,5,2,114,3,1,55,4,7
"20",8,17,493,1,3,1,1,3,3,0,0,0,6,3,0,0,3,0,0,2,1
"21",0,1,1,0,1,0,0,3,0,0,120,0,1,0,0,0,1,0,0,64,0
"22",7,6,2,24,1,3,192,2,1,3,55,17,1,52,1,1,3,0,8,24,2
"2A",9,4,47,136,3,240,3,1,72,2,1,4,1,63,1,1,0,2,4,11,1
"2B",3,1,178,5,0,2,2,6,335,7,2,0,40,1,0,2,1,16,0,1,5
"Y",1,0,0,2,1,0,0,0,7,1,0,0,1,0,0,0,5,1,0,1,12
"X",94,17,20,7,6,5,8,2,4,10,2,4,0,15,17,7,5,15,0,6,475
