"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",1712.5,1.0,0.5,50.5,2.75,0.5,1.5,0,0,1.0,0.25,0,0.5,0.5,1.5,0.5,1.0,0.666666666667,0,0,0,1.5,0,3.0
"2",4.0,1.5,904.290909091,0.333333333333,0.5,0.5,0,1.33333333333,1.0,2.0,0.5,1.33333333333,0,0.5,0,1.0,1.0,0,0,0,0,1.0,0.909090909091,0
"3",2.0,2.5,1.0,1.0,0.5,0.6,744.4,0.333333333333,3.5,0.333333333333,0.5,2.16666666667,0,1.0,0,0.5,0,0,0.5,0,163.5,1.5,0,0
"4",2.14285714286,0.5,2.5,0,1.5,883.714285714,1.5,2.0,0,0,2.0,3.00952380952,0.5,0.5,0,0.5,1.5,0.5,2.83333333333,0.5,0.5,0.5,0,0
"5",0.5,2.5,0.25,602.666666667,0.5,2.0,0,0.5,1.0,0.833333333333,1.5,0,0,0,0.5,1.0,0.833333333333,0,4.08333333333,0.666666666667,0.5,0,0,1.5
"6",2.5,0.5,0,1.5,736.75,1.5,2.0,1.0,0.833333333333,0,1.0,1.5,0,0,0,1.0,0,0,0.833333333333,0,0,1.0,0,0
"7",1.33333333333,1.5,0.5,1.5,0.25,1.33333333333,1.0,0.25,0,0.5,0.25,0.2,0,527.833333333,485.0,0,0,0,2.33333333333,0,0,0,0.666666666667,2.0
"8",1.5,0.5,0.5,0.5,1.0,0,0.5,570.666666667,0,1.41666666667,1.5,0.75,0.25,0.5,1.0,0,1.0,0.166666666667,0.5,0.5,0,0,0.5,2.25
"9",3.5,0,0.25,1.5,1.5,1.33333333333,0.5,0,0,638.416666667,1.5,0.666666666667,0,1.0,0.333333333333,0,0,0.166666666667,0.25,1.0,0,0,0,1.75
"10",1.0,0.833333333333,0,0,1.0,0.5,1.5,0.5,1.0,1.0,0.5,1.0,0.5,0.666666666667,0.25,0,1.0,0.0833333333333,0,486.75,0.0833333333333,360.333333333,0,0
"11",0.833333333333,1.5,45.8333333333,0,1.25,2.5,0.5,0.333333333333,0.333333333333,0.5,1.75,904.7,0,1.5,0,0.333333333333,0.666666666667,0,1.33333333333,1.0,0,0,0,0.5
"12",2.0,477.0,0.2,0.333333333333,0,1.33333333333,0.5,0,0.5,1.5,1.5,0.866666666667,0,0,0.5,0,0,1.0,1.0,0,1.0,0,0,0
"13",1.5,619.416666667,0,0,2.0,1.0,0,0,1.25,0.5,1.0,0.7,0.333333333333,0,0,2.0,0,0,1.0,0,1.0,0,0,0.5
"14",0,2.0,2.83333333333,0,0,0.6,0.4,0,0.5,0.5,1042.75,1.0,0,0,0,0.5,1.0,0,0,0,0,0.5,0,0
"15",0,3.2,0.7,0.5,0.5,0.5,0.5,0,639.466666667,1.5,1.5,0,1.0,1.0,0.5,1.5,2.33333333333,0,0.333333333333,0,0,1.0,0,1.0
"16",0.5,0.5,0.5,0,1.75,0,2.5,0.25,0,0.5,0.5,1.0,0,0.5,0,0,1003.16666667,0.25,0,0,0,0,0.666666666667,0
"17",0,1.0,0.2,0,0,0,0,0.25,0,0,0.5,0.333333333333,282.25,0,0,0,0,0,0.5,0,0.5,0.5,0,1.0
"18",0,1.0,0,0,0,0.5,0,0.333333333333,0,0.5,0,0.166666666667,0,0,0,0,0,240.5,0,0,0,0,0,1.0
"19",0,0,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1.0,1.0,1128.5,0,0,0,0,0
"20",0,0,0.866666666667,0,1.0,0,0,0.5,0,0,0.25,1.33333333333,0.5,0,0,682.083333333,0,1.0,0,0,0,0.5,1.0,0
"X",3.0,0.5,1.33333333333,1.0,1.5,1.5,0.5,1.5,1.0,1.0,1.5,1.0,0,2.5,0,0,0.5,0.5,1.83333333333,0.5,0,0.5,5.93974358974,618.56025641
