"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",29,495,31,18,813,12,8,5,5,48,14,5,467,159,17,4,26,4,36,4,26
"2",12,132,9,118,9,9,11,338,10,8,295,7,3,13,42,61,3,5,6,6,12
"3",35,23,14,498,10,76,5,21,9,4,123,252,5,49,6,5,27,5,4,62,7
"4",199,9,8,10,49,3,6,65,151,3,3,3,2,5,6,4,180,4,3,317,9
"5",12,180,6,31,4,5,7,9,6,9,3,2,5,343,9,84,5,7,34,2,13
"6",60,280,5,11,9,4,9,10,26,179,5,7,5,14,6,10,63,210,4,2,13
"7",129,4,198,8,5,463,7,218,3,4,3,1,1,7,264,7,2,4,5,5,9
"8",7,44,5,6,112,7,204,3,3,4,7,1,1,0,94,134,4,1,2,2,7
"9",364,5,7,19,7,12,1,1,3,4,1,3,1,4,34,62,168,0,5,93,3
"10",14,18,501,14,4,5,215,3,0,5,66,20,4,62,7,4,3,1,8,19,5
"11",16,11,5,353,6,10,441,4,13,6,6,209,9,5,8,6,6,2,3,5,51
"12",13,6,173,5,9,4,2,6,331,0,2,4,3,2,1,2,5,5,3,4,7
"13",6,42,181,284,8,249,6,1,87,2,4,1,46,63,2,1,33,18,8,12,2
"14",706,20,200,26,2,7,4,301,6,7,3,2,6,3,10,6,2,3,0,6,1
"15",83,3,249,6,330,10,4,7,3,6,1,4,1,2,4,6,79,2,3,2,6
"16",5,15,4,4,6,8,4,1,2,1064,3,2,2,2,1,5,2,5,0,1,8
"17",7,24,6,7,4,10,3,5,11,4,1,44,2,4,159,55,1,4,3,1,5
"18",2,2,2,1,2,2,1,0,30,1,0,0,23,3,1,2,0,184,1,2,5
"19",779,41,7,2,2,21,188,77,58,11,5,31,5,2,2,107,7,2,57,2,7
"20",160,3,5,6,3,11,5,8,2,251,1,4,3,2,2,6,7,1,336,3,8
"X",117,20,23,12,13,9,18,7,7,10,4,6,6,19,25,7,3,21,2,6,565
