"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",0,1,3,2,0,1,820,1,2,2,0,3,0,2,0,0,0,439,293,0,0,1,0,0
"3",1,0,0,0,0,0,0,0,2,1,2,0,1,2,568,0,281,0,0,0,20,1,0,0
"4",1,0,605,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0
"5",1,670,0,1,0,1,1,1,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0
"6",3,1,2,738,1,2,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
"7",0,183,1,0,0,1,5,520,0,2,1,0,0,2,1,0,5,0,1,0,0,0,0,1
"8",0,0,0,1,0,0,0,0,0,0,2,1,208,0,0,342,1,0,0,0,0,0,0,0
"9",563,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,1,0,1
"10",0,1,0,1,0,1,122,1,0,0,0,457,0,0,1,0,0,0,0,0,0,2,0,0
"11",0,1,1,1,1,1,0,0,0,2,925,0,0,2,0,0,0,0,0,0,0,0,0,1
"12",0,0,3,0,2,1,0,0,751,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
"13",151,0,1,0,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"14",0,0,0,0,1,1,1,1,1,486,0,1,0,1,0,1,0,0,0,0,0,0,0,3
"15",0,0,0,1,0,111,0,0,0,288,1,0,0,0,0,0,0,13,0,1,0,1,10,0
"16",0,0,0,0,0,0,1,0,1,1,0,329,0,1,0,0,0,0,1,288,1,0,0,0
"17",3,1,0,0,730,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2
"18",0,0,0,1,0,0,2,0,0,0,0,0,221,0,0,1,0,0,0,0,0,0,0,0
"19",3,2,0,1,1,1,0,1,1,0,0,3,0,0,1,0,1,1,0,0,1,859,0,1
"20",0,0,0,1,434,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"21",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0
"22",260,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1
"Un",8,2,0,0,2,0,2,0,0,2,9,1,2,3,0,1,0,2,0,0,0,0,0,1
"X",0,0,0,0,1,0,1,2,0,0,1,1,0,0,1,0,1,1,0,0,0,1,3,578
"2a",2,2,0,0,1,1,0,0,0,0,1,0,0,495,0,0,0,0,1,0,0,1,0,1
"2b",0,0,1,0,0,485,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
