"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",1719,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,937,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"4",1,1,0,655,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"5",0,0,0,0,741,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"6",0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7",0,0,0,0,1,0,756,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
"8",0,0,0,0,1,1,0,575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",1,1,0,0,0,0,0,0,632,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"10",0,0,0,0,1,0,0,0,0,625,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0,0,1011,0,0,1,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,887,1,0,1,0,0,0,1,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,1,0,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0,0,0,530,0,1,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,1,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,855,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0
"19",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,468,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0
"22",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0
"Un",2,6,0,0,3,0,1,1,4,2,11,0,0,3,1,1,1,0,1,1,1,6,0,1
"X",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,658
"2a",0,536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b",0,532,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
