"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",487,15,475,927,225,8,21,38,2,5,40,28,82,4,1,8,2,5,2,0,2
"3",5,2,120,1,2,160,2,4,323,4,1,1,4,88,2,288,12,3,1,0,2
"4",2,1,169,3,393,19,5,111,0,0,2,3,41,0,0,0,3,2,0,2,3
"5",11,1,7,0,3,2,4,1,0,2,157,0,284,2,80,1,19,193,2,0,2
"6",38,1,8,46,2,0,9,0,72,213,6,0,203,7,0,2,338,0,2,0,5
"7",2,4,3,1,358,320,9,1,16,4,48,66,150,0,2,0,2,5,5,0,3
"8",53,1,40,62,1,0,4,131,0,1,0,2,22,96,201,5,2,1,1,0,2
"9",2,239,4,386,4,9,2,5,1,1,1,0,72,1,1,2,1,1,73,0,3
"10",4,90,1,1,1,18,84,4,5,83,5,3,37,86,0,2,1,19,257,0,0
"11",3,135,1,0,3,1,384,2,285,3,2,2,18,1,0,2,1,0,290,0,2
"12",2,0,2,0,201,289,5,3,2,270,4,1,7,0,188,5,1,0,3,73,12
"13",9,4,24,0,38,0,0,54,2,0,3,1,1,162,2,2,3,3,1,0,2
"14",2,1,2,1,0,2,1,1,1,2,4,418,0,169,0,0,1,1,0,0,2
"15",1,166,1,2,0,2,117,1,224,0,0,4,1,0,2,0,1,2,1,0,0
"16",0,2,0,1,0,1,160,315,2,0,9,1,0,3,0,79,118,1,1,0,0
"17",2,1,1,0,3,1,2,1,0,17,940,1,0,1,2,0,2,1,0,1,1
"18",29,0,0,1,3,1,1,1,1,0,2,0,1,0,0,0,30,178,0,0,1
"19",4,1,0,4,1,2,718,189,83,146,5,19,284,2,1,4,105,1,0,0,9
"20",2,466,22,1,0,3,1,1,2,0,1,0,1,0,2,1,1,2,1,0,0
"21",0,0,0,0,0,0,0,0,1,45,1,0,0,0,0,123,22,0,0,0,0
"22",1,2,0,1,27,13,0,7,1,30,47,1,0,1,220,35,2,1,2,0,0
"Un",3,7,3,5,6,42,34,0,6,3,3,7,39,8,3,3,1,1,5,0,1
"X",4,8,5,4,9,3,4,2,5,6,8,21,3,4,3,2,1,3,4,160,777
"2a",54,43,1,4,54,137,9,0,2,11,64,91,1,1,2,0,102,1,1,0,2
"2b",364,177,2,3,1,1,2,3,2,2,1,1,1,2,1,1,2,15,1,0,2
