"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",4,18,6,15,193,4,2484,23,8,220,2,4,55,65,4,12,163,8,740,900,121
"2",5,7,990,11,24,3,16,3,32,6,13,5,219,10,84,4,7,11,1,825,23
"3",6,1703,5,8,12,42,14,4,14,4,6,4,2,57,1,8,9,11,3,225,21
"4",9,4,2,2,207,1242,7,8,34,13,6,4,22,53,2,15,1,5,2,225,8
"5",58,5,6,1485,6,4,5,6,5,3,10,1,7,157,1,1,5,5,3,75,4
"6",2,9,3,8,55,5,5,8,7,8,5,625,2,99,8,4,110,4,3,75,3
"7",0,3,2,2,6,1,73,4,2,549,3,4,8,145,645,4,61,1,1,150,8
"8",4,9,3,3,170,5,8,4,1180,12,0,1,4,6,0,7,8,3,1,0,8
"9",504,3,16,7,9,9,95,1,1,8,2,2,4,474,3,1,258,3,1,77,3
"10",4,8,5,16,36,5,6,4,0,36,1511,1,1,13,2,101,145,4,4,0,6
"11",1,1,5,1,3,1,1,1,7,7,4,1,0,3,1,549,3,4,0,0,2
"12",2,1,1,4,586,1,7,40,0,1,1,1,1,2,2,1,4,0,2,225,4
"13",603,1,4,1,2,0,7,3,0,8,3,2,3,2,2,0,3,0,1,0,0
"14",2,11,3,16,590,1,25,2,5,38,164,0,7,115,8,3,3,8,3,752,23
"15",2,2,6,2,20,1,6,1,15,1,4,2,2,1084,0,1,1,4,3,525,12
"16",4,4,1,4,4,3,5,468,2,2,4,1,4,326,2,3,4,3,5,150,7
"17",1,95,6,5,1,8,6,5,2,0,2,0,478,2,1,1,1,24,2,0,5
"18",6,1,3,1,4,3,26,6,0,0,5,19,0,4,3,0,2,436,1,150,9
"19",1,1,1,1,892,1,3,487,6,2,2,2,1,1,0,24,3,2,2,0,2
"20",4,1,1,0,0,1,2,1,3,335,3,1,2,0,2,2,505,1,0,0,1
"X",6,5,3,15,21,6,19,5,6,10,9,20,4,57,48,1,3,9,0,232,704
