"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",320,0,41,0,0,0,25,97,178,0,208,162,1,0,0,0,1,3,0,1,0,0,0,1,0,1,1,0,0,238,0,1,0,0,0,0,0,0,1
"2",0,81,104,47,0,1,0,5,0,2,155,0,0,24,0,4,0,427,0,380,86,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0
"3",17,0,0,0,5,438,1,0,1,172,0,2,0,0,0,0,291,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,2,0,1,117,141,1,1,0,0,0,154,0,1,0,154,0,0,0,0,0,0,0,0,0,0,3,134,0,0,0,0,0,2,0,0,105,0
"5",0,0,0,0,1,1,0,1,0,289,0,0,0,0,86,1,0,0,0,0,0,0,0,0,0,0,342,0,1,0,0,1,0,1,0,0,0,0,1
"6",429,270,0,0,290,38,87,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"7",1,0,77,0,1,1,0,316,3,0,0,279,5,0,30,0,0,0,0,4,0,0,0,0,1,0,1,0,2,71,0,0,0,0,127,1,0,0,0
"8",4,0,129,0,0,0,0,0,0,0,0,0,103,0,67,0,0,0,44,0,1,1,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,1
"9",1,0,0,0,242,0,139,0,0,0,0,1,0,89,0,13,0,62,0,1,245,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,1
"10",29,110,0,0,1,6,81,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,37,0
"11",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,140,0,1,1,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,309,0,0,222,1,0,0,1,0,0,0,134,0,162,122,0,0,0,0,0
"14",16,0,0,183,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,94,343,0,286,0,0,0,1,0,1,0,0,0,0,0
"15",1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,88,1,0,74,0,0,0,0,0,102,0,0,0,1,0,0,0,0,0,0,122,163,0,1
"16",0,59,0,163,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"17",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,8,383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18",0,0,0,1,0,0,1,0,0,0,0,0,1,146,1,131,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Y",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509
