"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",395,1,4,1,5,7,7,117,4,306,4,27,4,3,4,9,4,8,3,17,4,2,319,77,530,2,1,2,0,6,141,18
"2",10,1,13,5,6,2,505,2,1,4,1,638,3,480,1,6,0,1,2,1,123,1,0,9,1,7,0,1,17,0,10,0
"3",1,3,2,0,2,0,2,1,1,1,16,0,528,5,600,1,2,1,0,2,2,0,25,1,0,0,0,0,0,0,0,2
"4",4,2,2,0,673,3,1,0,359,1,1,0,0,1,1,1,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0
"5",2,1,9,1,0,681,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,2,2,0,0,0,1,331,0,0,0,0
"6",16,589,265,0,65,3,2,126,0,577,1,0,2,0,0,0,0,0,0,3,2,3,2,1,1,1,0,0,0,0,0,3
"7",620,1,1,1,4,1,0,0,0,12,3,0,1,1,0,6,0,1,1,777,0,0,1,256,2,0,0,0,0,0,0,2
"8",3,194,434,0,1,2,1,0,1,0,2,1,2,2,1,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,6
"9",2,1,2,252,206,2,801,2,1,1,2,1,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0,1,1,8,0,1
"10",0,0,1,0,1,1,0,0,0,2,0,1,10,1,2,0,1,0,0,0,0,0,81,1,1,0,1,1,172,136,0,2
"11",2,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,314,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1
"12",0,1,1,2,0,1,1,0,0,2,966,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"13",1,3,1,1,16,1,1,0,0,3,1,2,1,3,0,639,1,1,387,0,0,1,0,0,0,168,0,1,2,0,0,1
"14",598,119,3,1,2,0,2,363,1,6,2,0,1,1,1,0,1,0,2,0,1,2,14,1,0,0,1,1,1,1,0,1
"15",9,2,2,4,2,268,5,3,6,3,2,1,2,1,6,8,2,370,3,8,3,0,6,2,1,2,115,2,0,4,1,11
"16",0,0,0,0,1,0,1,0,1,22,1,0,1,118,0,0,0,0,0,0,184,0,0,0,0,0,1,0,0,0,0,2
"17",0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,468,0,1,2,0,67,0,8,0,0,0
"18",0,1,0,403,1,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
"Y",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
"X",3,1,0,1,0,7,2,0,0,2,0,0,0,3,0,1,2,0,2,0,4,0,0,0,0,0,0,0,0,1,0,661
