"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",1,0,2,1,102,0,0,0,0,349,380,0,0,465,4,0,0,0,3
"2",0,0,0,3,0,420,0,376,0,2,1,0,0,0,517,0,0,0,0
"3",1,0,0,0,0,0,469,0,1,3,1,0,0,17,0,4,0,447,2
"4",236,283,3,0,0,1,0,0,0,1,0,0,0,0,0,0,270,0,0
"5",0,0,0,743,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
"6",0,0,0,1,92,0,1,0,1,1,0,0,1,1,0,0,515,2,616
"7",0,0,0,0,0,0,0,3,0,418,523,0,0,1,0,0,0,0,1
"8",0,0,0,0,0,1,0,1,478,1,0,0,0,0,1,0,0,1,2
"9",185,1,0,0,0,0,1,165,0,0,2,0,0,0,485,0,0,0,0
"10",110,0,0,110,0,0,0,0,1,1,0,0,0,61,0,0,0,6,1
"11",0,0,0,0,0,239,0,0,0,0,0,1,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,732,0,0,0
"13",0,0,0,0,0,2,1,317,1,0,0,0,647,0,2,0,2,0,0
"14",0,0,486,0,327,2,1,1,96,0,0,0,0,13,1,0,1,0,3
"15",0,0,0,0,0,3,1,1,88,0,2,2,0,1,1,0,454,0,0
"16",0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,1,0,0
"17",0,1,0,0,0,0,378,0,44,0,0,0,0,0,0,1,1,0,0
"18",0,0,0,1,0,1,0,323,0,0,0,1,0,0,0,0,0,0,0
"Y",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",0,0,0,1,0,2,0,0,1,0,0,499,0,0,0,0,0,0,1
