"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",3.08333333333,0.5,2.0,1.87333333333,102.5,2.62333333333,1.0,2.23333333333,2.70666666667,355.583333333,384.083333333,4.5,2.08333333333,471.583333333,10.8428571429,0.666666666667,2.58,0.5,3.0
"2",1.09848484848,1.01515151515,0,5.06666666667,0,431.65,2.16515151515,381.6,0.581818181818,2.51515151515,3.84848484848,2.1,1.33333333333,1.06666666667,532.39047619,0.333333333333,0.583333333333,0.0833333333333,1.0
"3",1.0,0.25,1.0,0.06,0.5,3.56,475.833333333,1.66666666667,3.06,3.0,2.0,0,0,17.0,0.333333333333,10.0,2.70333333333,451.083333333,2.25
"4",238.25,290.5,3.5,1.56666666667,0,2.06666666667,1.56666666667,0,0.566666666667,3.5,1.5,0,0.5,1.0,0.566666666667,0,275.333333333,0,0
"5",0,0,0.666666666667,753.783333333,1.41666666667,1.06666666667,1.23333333333,2.5,3.23333333333,0.75,1.0,0,0.75,0,0.0666666666667,1.5,1.5,0,1.0
"6",0.0151515151515,0.765151515152,0.5,2.0,95.9166666667,0.5,1.59848484848,1.83333333333,3.30681818182,2.55681818182,2.84848484848,2.54166666667,2.25,1.0,1.5,0,524.125,2.75,629.18452381
"7",0.530303030303,0.363636363636,0.833333333333,1.83333333333,0,1.5,0.030303030303,3.33333333333,1.86363636364,427.196969697,532.696969697,2.66666666667,0.5,1.5,0,1.66666666667,2.16666666667,0.5,3.44047619048
"8",0.75,0,1.0,0.373333333333,0.5,2.70666666667,0.5,1.0,489.695555556,2.33333333333,0.75,2.66666666667,1.94444444444,0.5,1.75,0,0.08,1.25,2.33333333333
"9",187.666666667,1.33333333333,0.5,1.52,1.7,1.38666666667,1.0,170.016666667,1.81166666667,1.325,2.0,1.34166666667,3.5,0.833333333333,494.866666667,0.333333333333,2.415,0,0
"10",111.931818182,0.515151515152,0.5,112.7,0,0,0.848484848485,0,1.55681818182,2.39015151515,0.515151515152,1.04166666667,0,63.0833333333,0.5,0.833333333333,0.0416666666667,7.58333333333,1.33333333333
"11",0.515151515152,0.0151515151515,0.833333333333,0,0,241.5,0.681818181818,0.5,1.01515151515,0.0151515151515,0.0151515151515,1.0,0.333333333333,0,0,0.5,0.5,0,0
"12",0,0,0.5,0.853333333333,0,0.77,0,0.1,1.52,1.0,0.333333333333,2.6,0.833333333333,0.5,1.5,753.083333333,0.373333333333,0,1.0
"13",0.5,0,0,1.0,1.0,3.0,2.0,320.416666667,1.5,0.25,0.5,1.0,656.0,0,2.0,0.5,3.66666666667,0,1.5
"14",1.0,0,493.5,0.75,332.583333333,2.5,2.0,2.0,99.65,0.5,1.0,0,1.75,14.5,1.0,0.5,2.0,0.5,6.5
"15",0,1.16666666667,0.5,0,1.0,4.33333333333,2.5,2.6,90.8611111111,3.66666666667,3.0,3.0,0.722222222222,2.1,2.66666666667,0.5,460.666666667,0,0.25
"16",0.515151515152,0.265151515152,0.5,0.02,0,257.02,0.515151515152,0,0.368484848485,0.0151515151515,0.0151515151515,0.25,0,0.5,0.5,0.25,1.87333333333,0.25,0.875
"17",0,1.5,0,0.8,0.166666666667,0.5,381.833333333,1.5,46.6666666667,0.5,0.5,0,0.5,0.5,0.5,1.0,1.33333333333,0,0.5
"18",0,0.5,0,1.0,0,1.5,0.5,325.433333333,0.5,0,0,1.6,0.833333333333,0,0,3.66666666667,1.0,0,0
"Y",0,0,0,1.0,0,0,0,0,0,0,0.25,2.83333333333,0,0.25,0,0.666666666667,0,0,0
"X",0.0606060606061,0.560606060606,0.5,2.91428571429,0.833333333333,4.08333333333,0.893939393939,0.6,2.01893939394,0.602272727273,1.14393939394,512.010714286,1.5,1.25,0.5,0.5,0.541666666667,0.5,1.0
