"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",2.16666666667,3.11666666667,0.333333333333,0,0.833333333333,362.625,0.833333333333,0,473.571794872,0.133333333333,8.39285714286,2.16666666667,0.5,102.333333333,293.461538462,1.0,0.666666666667,101.958333333,3.23333333333,1.0,0,0,0,0.833333333333
"2",34.4738095238,1.0,1.33333333333,0,414.166666667,0,1.17424242424,0.5,0.333333333333,0,524.357142857,0.833333333333,0,2.83333333333,0.5,0,2.5,0,409.326190476,0,0,0.5,0,0
"3",2.0,486.916666667,1.16666666667,1.0,2.5,2.5,172.833333333,0.5,17.3166666667,0.633333333333,0.25,1.0,0,0.5,0,289.75,11.0,0,1.33333333333,0,0,0,0,1.0
"4",544.547619048,0,0.5,0,0.5,1.2380952381,0,312.25,0.5,3.5,0.5,1.38095238095,0.5,0,0,0,0.5,0,0,0,0,0,0,0
"5",1.33333333333,0,0,1.5,0,0,0.5,0,0.333333333333,0.333333333333,0.5,583.333333333,0,0,0,1.33333333333,1.5,0.5,0,0.5,0,176.5,0,0
"6",575.125,0,0,0.5,1.0,1.0,2.09090909091,0,2.0,0.5,0.5,1.16666666667,0,0.5,0.5,208.875,0,95.5,461.476190476,1.33333333333,0,0,0,1.0
"7",2.72857142857,0,4.33333333333,0.833333333333,1.75,440.4004329,0.181818181818,0.583333333333,1.5,0,0,0.595238095238,0,357.25,161.0,1.0,1.33333333333,0.666666666667,3.69047619048,0.5,0.5,0.333333333333,0.909090909091,1.0
"8",0.545454545455,0.5,0.5,509.168181818,1.0,0,0.833333333333,0,0.5,0.5,0.772727272727,0.333333333333,0.333333333333,0,0,1.0,0.5,0,3.2803030303,0,0,0,0,1.16666666667
"9",189.666666667,2.5,2.0,0.5,0,1.0,171.366666667,0.333333333333,0.333333333333,1.0,472.0,0.5,0,0,0,0,0.333333333333,0.5,0.333333333333,0,0,1.5,0,0
"10",120.5,1.06153846154,0,0,0,0,0.340909090909,1.0,66.2128205128,119.015384615,0.5,1.5,0,0.515384615385,0.0230769230769,8.83333333333,0.5,0.0230769230769,1.33333333333,0,0.00769230769231,0.00769230769231,0,0.666666666667
"11",0,0.666666666667,0.666666666667,0.5,0,0,0.0909090909091,0.5,0,1.33333333333,0,0,247.166666667,0,0,0,0.5,0,0,0,0.5,0,0,0
"12",0,0,0,0,0,0.5,0.7,0.25,0,0,1.0,0.166666666667,0,0,0,0,790.111111111,0.75,0,0,0,0,0.222222222222,1.16666666667
"13",2.83333333333,0.333333333333,866.424242424,0,1.83333333333,0,0.5,1.5,0,0.5,1.0,0.5,0,0,0,0.5,0.5,0,1.0,1.0,130.0,0,1.90909090909,0.5
"14",50.5,3.66666666667,1.0,19.4,3.0,0,0.5,84.0,12.5,459.333333333,0,196.166666667,0.333333333333,1.0,0,0,0.333333333333,0,4.5,1.2,0,145.3,0,1.5
"15",0.5,490.083333333,0.5,37.4358974359,0.333333333333,3.16666666667,1.53333333333,58.1474358974,0.633333333333,2.1,1.0,0.75,0,0,2.0,0,0.5,0,0.5,0,0,0.5,0,0.5
"16",0.333333333333,0,0,0.833333333333,264.833333333,0,0.340909090909,0.25,0,0,0.5,0,0,0.666666666667,0,0,0.5,0.5,0.5,0,0,0,0,0
"17",0.333333333333,0.246153846154,0.5,2.33333333333,0,0.5,0,47.5,0.184615384615,0.0615384615385,0.5,0,0.5,0.0615384615385,0.0923076923077,0,0,0.0923076923077,1.0,398.333333333,0.0307692307692,0.0307692307692,0,0
"18",1.0,0,0,0,0.5,0,318.866666667,0,0.4,0.133333333333,0.5,2.0,0,0,0,0,3.33333333333,0,0,0.5,0,1.0,0,0
"Y",0,0,0,0,0.25,0,0,0,0,1.0,0,0.166666666667,0,0,0,0,0.222222222222,0,0,0,0,0,3.34764957265,1.01346153846
"X",1.0,0,1.0,0,2.25,0,0.563636363636,0,0,0.5,1.0,0.666666666667,1.5,0,0,0,0,0,1.5,0,0,0.5,7.58653846154,537.830128205
