"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",246,2,1,0,1,0,0,1,86,0,2,312,2,0,0,0,320,0,0,24,0,1
"2",279,3,235,4,0,0,3,0,0,0,68,1,4,2,0,0,1,2,1,0,0,2
"3",20,431,4,2,0,125,0,2,1,0,0,3,0,1,0,1,0,0,5,0,0,2
"4",1,0,239,0,0,0,1,0,0,0,0,0,499,1,0,0,2,6,0,0,0,0
"5",0,1,0,350,2,0,0,208,0,0,2,1,1,0,0,0,0,0,1,0,0,1
"6",3,2,0,1,193,0,2,0,89,1,0,1,368,0,1,2,0,0,0,0,0,3
"7",2,1,1,0,0,0,1,0,5,1,0,369,0,1,0,0,173,0,0,130,0,0
"8",0,102,0,0,0,0,0,0,0,0,0,0,1,0,306,0,2,0,0,0,0,0
"9",427,1,0,0,0,0,50,0,0,89,0,0,54,0,0,95,0,0,0,0,0,1
"10",52,2,0,0,0,7,1,1,0,0,0,1,0,0,0,195,0,0,0,0,0,0
"11",1,0,0,0,0,0,1,131,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,612,0,0,1
"13",0,0,2,1,0,0,0,1,295,0,0,1,1,506,2,0,0,0,0,0,0,0
"14",11,71,0,1,2,0,1,0,0,0,0,1,0,1,3,47,0,344,0,0,131,2
"15",1,51,1,0,0,0,393,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
"16",0,0,85,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0
"17",0,15,0,223,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0
"18",1,0,0,1,0,0,119,0,1,97,0,0,40,1,0,0,0,0,0,0,0,0
"Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"X",2,0,1,0,0,0,0,2,1,0,0,0,2,1,0,0,0,1,0,0,0,383
