"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",2,1,1,334,2,0,368,0,1,1,0,2,1,0,437,0,0,99,3,0,2
"2",25,0,0,0,1,367,1,0,0,0,0,1,2,483,1,2,0,0,369,0,1
"3",1,0,146,2,2,1,1,0,0,0,1,0,460,0,17,5,0,1,1,259,2
"4",510,1,0,1,0,1,0,280,2,0,0,1,1,0,0,0,0,0,0,0,1
"5",2,2,0,1,0,1,0,0,0,160,552,0,0,0,0,2,0,0,0,0,0
"6",534,1,2,2,0,1,0,1,2,1,0,0,0,0,2,0,0,92,416,200,3
"7",0,4,2,421,0,1,484,0,1,0,1,0,0,1,1,0,0,0,1,0,0
"8",33,0,1,0,448,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"9",166,3,163,0,1,0,1,0,0,0,1,1,0,423,2,0,0,0,0,0,0
"10",117,0,0,0,0,0,0,1,114,0,1,0,0,0,57,1,0,0,1,7,0
"11",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,242,0,0,0,0
"12",1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,746,0,0,0,0,0
"13",0,771,123,1,0,1,0,0,0,1,37,0,1,3,0,0,0,0,1,0,2
"14",47,2,0,0,18,2,0,83,429,129,185,0,3,0,10,0,1,0,2,0,0
"15",1,0,1,0,34,0,2,57,0,0,0,406,57,0,1,0,1,0,0,0,0
"16",1,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,3,0,0,45,0,385,1,0,0,0,0,0,1,0,0,0,0
"18",0,0,303,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,488
